# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 2697294022688
#
# Children      Self  Command          Shared Object               Symbol                                 
# ........  ........  ...............  ..........................  .......................................
#
    23.66%     0.04%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
    23.60%     0.01%  fio              [kernel.vmlinux]            [k] do_syscall_64
    23.10%     0.03%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
    23.03%     0.52%  fio              [kernel.vmlinux]            [k] io_submit_sqes
    21.53%     0.35%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
    14.53%     0.06%  fio              [kernel.vmlinux]            [k] io_queue_async_work
    13.94%     0.18%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
    13.55%     0.26%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
    13.13%     0.23%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     6.66%     0.52%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     6.50%     0.11%  fio              [kernel.vmlinux]            [k] ttwu_do_activate
     6.16%     0.23%  fio              [kernel.vmlinux]            [k] io_read
     5.25%     0.25%  fio              [kernel.vmlinux]            [k] io_setup_async_rw
     5.22%     0.01%  swapper          [kernel.vmlinux]            [k] cpu_startup_entry
     5.22%     0.00%  swapper          [kernel.vmlinux]            [k] secondary_startup_64_no_verify
     5.21%     0.01%  swapper          [kernel.vmlinux]            [k] do_idle
     5.13%     0.00%  swapper          [kernel.vmlinux]            [k] start_secondary
     4.91%     0.44%  fio              [kernel.vmlinux]            [k] __kmalloc
     4.56%     0.00%  swapper          [kernel.vmlinux]            [k] cpuidle_enter
     4.56%     0.00%  swapper          [kernel.vmlinux]            [k] cpuidle_enter_state
     4.36%     0.18%  fio              [kernel.vmlinux]            [k] __cond_resched
     4.31%     4.31%  swapper          [kernel.vmlinux]            [k] intel_idle
     4.15%     0.68%  fio              [kernel.vmlinux]            [k] __sched_text_start
     4.14%     0.09%  fio              [kernel.vmlinux]            [k] preempt_schedule_common
     3.85%     1.71%  fio              [kernel.vmlinux]            [k] select_task_rq_fair
     3.62%     0.38%  fio              [kernel.vmlinux]            [k] enqueue_task_fair
     2.80%     0.13%  fio              [kernel.vmlinux]            [k] psi_task_change
     2.20%     2.19%  fio              [kernel.vmlinux]            [k] psi_group_change
     2.19%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     2.19%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     2.19%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     2.19%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     2.19%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     2.18%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     2.02%     1.12%  fio              [kernel.vmlinux]            [k] update_load_avg
     1.96%     0.18%  fio              [kernel.vmlinux]            [k] pick_next_task_fair
     1.92%     0.00%  iou-wrk-3266     [kernel.vmlinux]            [k] io_wqe_worker
     1.92%     0.00%  iou-wrk-3266     [kernel.vmlinux]            [k] ret_from_fork
     1.87%     0.02%  iou-wrk-3249     [kernel.vmlinux]            [k] io_wqe_worker
     1.87%     0.00%  iou-wrk-3249     [kernel.vmlinux]            [k] ret_from_fork
     1.86%     0.03%  iou-wrk-3230     [kernel.vmlinux]            [k] io_wqe_worker
     1.86%     0.00%  iou-wrk-3230     [kernel.vmlinux]            [k] ret_from_fork
     1.85%     0.01%  iou-wrk-3236     [kernel.vmlinux]            [k] io_wqe_worker
     1.85%     0.00%  iou-wrk-3236     [kernel.vmlinux]            [k] ret_from_fork
     1.85%     0.40%  fio              [kernel.vmlinux]            [k] enqueue_entity
     1.84%     0.01%  iou-wrk-3270     [kernel.vmlinux]            [k] io_wqe_worker
     1.84%     0.00%  iou-wrk-3270     [kernel.vmlinux]            [k] ret_from_fork
     1.84%     0.01%  iou-wrk-3262     [kernel.vmlinux]            [k] io_wqe_worker
     1.84%     0.00%  iou-wrk-3262     [kernel.vmlinux]            [k] ret_from_fork
     1.81%     0.00%  iou-wrk-3258     [kernel.vmlinux]            [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-3258     [kernel.vmlinux]            [k] ret_from_fork
     1.80%     0.04%  iou-wrk-3253     [kernel.vmlinux]            [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3253     [kernel.vmlinux]            [k] ret_from_fork
     1.80%     0.00%  iou-wrk-3239     [kernel.vmlinux]            [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3239     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-3271     [kernel.vmlinux]            [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-3271     [kernel.vmlinux]            [k] ret_from_fork
     1.78%     0.01%  iou-wrk-3243     [kernel.vmlinux]            [k] io_wqe_worker
     1.78%     0.00%  iou-wrk-3243     [kernel.vmlinux]            [k] ret_from_fork
     1.78%     0.01%  iou-wrk-3245     [kernel.vmlinux]            [k] io_wqe_worker
     1.78%     0.00%  iou-wrk-3245     [kernel.vmlinux]            [k] ret_from_fork
     1.71%     0.02%  iou-wrk-3256     [kernel.vmlinux]            [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3256     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.01%  iou-wrk-3254     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3254     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.01%  iou-wrk-3268     [kernel.vmlinux]            [k] io_wqe_worker
