# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 889K of event 'cycles'
# Event count (approx.): 81621143610943
#
# Children      Self  Command          Shared Object               Symbol                                              
# ........  ........  ...............  ..........................  ....................................................
#
    24.07%     0.02%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
    24.04%     0.01%  fio              [kernel.vmlinux]            [k] do_syscall_64
    23.76%     0.03%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
    23.69%     0.68%  fio              [kernel.vmlinux]            [k] io_submit_sqes
    21.94%     0.43%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
    14.75%     0.06%  fio              [kernel.vmlinux]            [k] io_queue_async_work
    14.31%     0.23%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
    13.82%     0.25%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
    13.36%     0.33%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     6.77%     0.28%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     6.61%     0.11%  fio              [kernel.vmlinux]            [k] ttwu_do_activate
     6.49%     0.34%  fio              [kernel.vmlinux]            [k] io_read
     5.63%     0.33%  fio              [kernel.vmlinux]            [k] io_setup_async_rw
     5.17%     0.53%  fio              [kernel.vmlinux]            [k] __kmalloc
     4.47%     0.18%  fio              [kernel.vmlinux]            [k] __cond_resched
     4.28%     0.72%  fio              [kernel.vmlinux]            [k] __sched_text_start
     4.27%     0.12%  fio              [kernel.vmlinux]            [k] preempt_schedule_common
     3.97%     1.72%  fio              [kernel.vmlinux]            [k] select_task_rq_fair
     3.61%     0.50%  fio              [kernel.vmlinux]            [k] enqueue_task_fair
     2.90%     0.17%  fio              [kernel.vmlinux]            [k] psi_task_change
     2.26%     2.25%  fio              [kernel.vmlinux]            [k] psi_group_change
     2.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     2.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     2.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     2.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     2.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     2.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     2.05%     0.25%  fio              [kernel.vmlinux]            [k] pick_next_task_fair
     1.83%     0.01%  iou-wrk-3231     [kernel.vmlinux]            [k] io_wqe_worker
