# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 50663668354832
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
    23.67%     0.02%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
    23.64%     0.01%  fio              [kernel.vmlinux]            [k] do_syscall_64
    23.38%     0.03%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
    23.30%     0.69%  fio              [kernel.vmlinux]            [k] io_submit_sqes
    21.55%     0.44%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
    14.35%     0.06%  fio              [kernel.vmlinux]            [k] io_queue_async_work
    13.90%     0.23%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
    13.43%     0.23%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
    13.00%     0.32%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     6.76%     0.30%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     6.47%     0.34%  fio              [kernel.vmlinux]            [k] io_read
     6.46%     0.13%  fio              [kernel.vmlinux]            [k] ttwu_do_activate
     5.61%     0.33%  fio              [kernel.vmlinux]            [k] io_setup_async_rw
     5.15%     0.52%  fio              [kernel.vmlinux]            [k] __kmalloc
     4.47%     0.19%  fio              [kernel.vmlinux]            [k] __cond_resched
     4.27%     0.13%  fio              [kernel.vmlinux]            [k] preempt_schedule_common
     4.27%     0.71%  fio              [kernel.vmlinux]            [k] __sched_text_start
     3.93%     1.69%  fio              [kernel.vmlinux]            [k] select_task_rq_fair
     3.45%     0.48%  fio              [kernel.vmlinux]            [k] enqueue_task_fair
     2.89%     0.18%  fio              [kernel.vmlinux]            [k] psi_task_change
     2.31%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     2.31%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     2.31%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     2.31%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     2.31%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     2.31%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     2.24%     2.22%  fio              [kernel.vmlinux]            [k] psi_group_change
     2.05%     0.25%  fio              [kernel.vmlinux]            [k] pick_next_task_fair
     1.81%     0.01%  iou-wrk-3260     [kernel.vmlinux]            [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-3260     [kernel.vmlinux]            [k] ret_from_fork
     1.80%     0.01%  iou-wrk-3242     [kernel.vmlinux]            [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3242     [kernel.vmlinux]            [k] ret_from_fork
     1.80%     0.01%  iou-wrk-3250     [kernel.vmlinux]            [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3250     [kernel.vmlinux]            [k] ret_from_fork
     1.80%     0.01%  iou-wrk-3253     [kernel.vmlinux]            [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3253     [kernel.vmlinux]            [k] ret_from_fork
     1.80%     0.01%  iou-wrk-3233     [kernel.vmlinux]            [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3233     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-3244     [kernel.vmlinux]            [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-3244     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-3236     [kernel.vmlinux]            [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-3236     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-3241     [kernel.vmlinux]            [k] io_wqe_worker
