# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 35462259346850
#
# Children      Self  Command          Shared Object       Symbol                                        
# ........  ........  ...............  ..................  ..............................................
#
     9.02%     0.03%  fio              [kernel.vmlinux]    [k] entry_SYSCALL_64
     8.99%     0.01%  fio              [kernel.vmlinux]    [k] do_syscall_64
     8.88%     0.04%  fio              [kernel.vmlinux]    [k] __do_sys_io_uring_enter
     8.47%     0.39%  fio              [kernel.vmlinux]    [k] io_submit_sqes
     7.18%     0.20%  fio              [kernel.vmlinux]    [k] __io_queue_sqe
     4.25%     0.05%  fio              [kernel.vmlinux]    [k] io_queue_async_work
     3.88%     0.15%  fio              [kernel.vmlinux]    [k] io_wqe_enqueue
     3.56%     0.09%  fio              [kernel.vmlinux]    [k] io_wqe_activate_free_worker
     3.40%     0.08%  fio              [kernel.vmlinux]    [k] try_to_wake_up
     2.73%     0.13%  fio              [kernel.vmlinux]    [k] io_issue_sqe
     2.60%     0.18%  fio              [kernel.vmlinux]    [k] io_read
     2.13%     0.18%  fio              [kernel.vmlinux]    [k] io_setup_async_rw
     1.86%     0.29%  fio              [kernel.vmlinux]    [k] __kmalloc
     1.73%     0.04%  fio              [kernel.vmlinux]    [k] ttwu_do_activate
     1.51%     0.26%  fio              [kernel.vmlinux]    [k] __sched_text_start
     1.30%     0.07%  fio              [kernel.vmlinux]    [k] __cond_resched
     1.25%     0.00%  kswapd0          [kernel.vmlinux]    [k] balance_pgdat
     1.25%     0.00%  kswapd0          [kernel.vmlinux]    [k] kswapd
     1.25%     0.00%  kswapd0          [kernel.vmlinux]    [k] kthread
     1.25%     0.00%  kswapd0          [kernel.vmlinux]    [k] ret_from_fork
     1.25%     0.00%  kswapd0          [kernel.vmlinux]    [k] shrink_node
     1.25%     0.00%  kswapd0          [kernel.vmlinux]    [k] shrink_lruvec
     1.22%     0.04%  fio              [kernel.vmlinux]    [k] preempt_schedule_common
     1.13%     0.00%  iou-wrk-3179     [kernel.vmlinux]    [k] io_wqe_worker
     1.13%     0.00%  iou-wrk-3179     [kernel.vmlinux]    [k] ret_from_fork
     1.13%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] io_wqe_worker
     1.13%     0.00%  iou-wrk-3165     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3126     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3126     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3135     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3135     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3184     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3184     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3152     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3142     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3159     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3123     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3123     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3129     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3129     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3114     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3114     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3116     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3116     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3176     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3134     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3134     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3133     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3133     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3110     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3110     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] ret_from_fork
     1.11%     0.00%  iou-wrk-3122     [kernel.vmlinux]    [k] io_wqe_worker
     1.11%     0.00%  iou-wrk-3122     [kernel.vmlinux]    [k] ret_from_fork
     1.11%     0.00%  iou-wrk-3189     [kernel.vmlinux]    [k] io_wqe_worker
     1.11%     0.00%  iou-wrk-3189     [kernel.vmlinux]    [k] ret_from_fork
     1.11%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] io_wqe_worker
     1.11%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] ret_from_fork
     1.11%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] io_wqe_worker
     1.11%     0.00%  iou-wrk-3160     [kernel.vmlinux]    [k] ret_from_fork
     1.11%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] io_wqe_worker
     1.11%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] ret_from_fork
     1.11%     0.00%  iou-wrk-3181     [kernel.vmlinux]    [k] io_wqe_worker
     1.11%     0.00%  iou-wrk-3181     [kernel.vmlinux]    [k] ret_from_fork
     1.11%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] io_wqe_worker
     1.11%     0.00%  iou-wrk-3149     [kernel.vmlinux]    [k] ret_from_fork
     1.11%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] io_wqe_worker
     1.11%     0.00%  iou-wrk-3153     [kernel.vmlinux]    [k] ret_from_fork
     1.11%     0.00%  iou-wrk-3111     [kernel.vmlinux]    [k] io_wqe_worker
     1.11%     0.00%  iou-wrk-3111     [kernel.vmlinux]    [k] ret_from_fork
     1.11%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] io_wqe_worker
     1.11%     0.00%  iou-wrk-3145     [kernel.vmlinux]    [k] ret_from_fork
     1.11%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] io_wqe_worker
     1.11%     0.00%  iou-wrk-3140     [kernel.vmlinux]    [k] ret_from_fork
     1.11%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] io_wqe_worker
     1.11%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] ret_from_fork
