# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 898K of event 'cycles'
# Event count (approx.): 86704214777183
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
    13.68%     0.02%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
    13.65%     0.00%  fio              [kernel.vmlinux]            [k] do_syscall_64
    13.50%     0.03%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
    13.28%     0.48%  fio              [kernel.vmlinux]            [k] io_submit_sqes
    11.91%     0.27%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
     7.52%     0.06%  fio              [kernel.vmlinux]            [k] io_queue_async_work
     7.17%     0.15%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
     6.85%     0.11%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
     6.64%     0.14%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     4.12%     0.18%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     3.94%     0.23%  fio              [kernel.vmlinux]            [k] io_read
     3.39%     0.23%  fio              [kernel.vmlinux]            [k] io_setup_async_rw
     3.35%     0.06%  fio              [kernel.vmlinux]            [k] ttwu_do_activate
     3.05%     0.37%  fio              [kernel.vmlinux]            [k] __kmalloc
     2.51%     0.11%  fio              [kernel.vmlinux]            [k] __cond_resched
     2.50%     0.45%  fio              [kernel.vmlinux]            [k] __sched_text_start
     2.39%     0.08%  fio              [kernel.vmlinux]            [k] preempt_schedule_common
     2.17%     1.00%  fio              [kernel.vmlinux]            [k] select_task_rq_fair
     1.78%     0.32%  fio              [kernel.vmlinux]            [k] enqueue_task_fair
     1.52%     0.10%  fio              [kernel.vmlinux]            [k] psi_task_change
     1.30%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     1.30%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     1.30%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     1.30%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     1.30%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     1.30%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     1.20%     1.20%  fio              [kernel.vmlinux]            [k] psi_group_change
     1.16%     0.14%  fio              [kernel.vmlinux]            [k] pick_next_task_fair
     1.05%     0.00%  iou-wrk-3021     [kernel.vmlinux]            [k] io_wqe_worker
     1.05%     0.00%  iou-wrk-3021     [kernel.vmlinux]            [k] ret_from_fork
     1.05%     0.00%  iou-wrk-3018     [kernel.vmlinux]            [k] io_wqe_worker
     1.05%     0.00%  iou-wrk-3018     [kernel.vmlinux]            [k] ret_from_fork
     1.05%     0.00%  iou-wrk-3002     [kernel.vmlinux]            [k] io_wqe_worker
     1.05%     0.00%  iou-wrk-3002     [kernel.vmlinux]            [k] ret_from_fork
     1.05%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] io_wqe_worker
     1.05%     0.00%  iou-wrk-3014     [kernel.vmlinux]            [k] ret_from_fork
     1.05%     0.00%  iou-wrk-2991     [kernel.vmlinux]            [k] io_wqe_worker
