# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32094324233218
#
# Children      Self  Command          Shared Object       Symbol                                              
# ........  ........  ...............  ..................  ....................................................
#
     5.43%     0.02%  fio              [kernel.vmlinux]    [k] entry_SYSCALL_64
     5.41%     0.00%  fio              [kernel.vmlinux]    [k] do_syscall_64
     5.35%     0.02%  fio              [kernel.vmlinux]    [k] __do_sys_io_uring_enter
     5.13%     0.22%  fio              [kernel.vmlinux]    [k] io_submit_sqes
     4.44%     0.12%  fio              [kernel.vmlinux]    [k] __io_queue_sqe
     2.70%     0.04%  fio              [kernel.vmlinux]    [k] io_queue_async_work
     2.46%     0.09%  fio              [kernel.vmlinux]    [k] io_wqe_enqueue
     2.39%     0.01%  iou-wrk-3646     [kernel.vmlinux]    [k] io_worker_handle_work
     2.39%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] io_wqe_worker
     2.39%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] ret_from_fork
     2.38%     0.00%  kswapd0          [kernel.vmlinux]    [k] balance_pgdat
     2.38%     0.00%  kswapd0          [kernel.vmlinux]    [k] kswapd
     2.38%     0.00%  kswapd0          [kernel.vmlinux]    [k] kthread
     2.38%     0.00%  kswapd0          [kernel.vmlinux]    [k] ret_from_fork
     2.38%     0.00%  kswapd0          [kernel.vmlinux]    [k] shrink_node
     2.38%     0.00%  kswapd0          [kernel.vmlinux]    [k] shrink_lruvec
     2.36%     0.00%  iou-wrk-3633     [kernel.vmlinux]    [k] io_wqe_worker
     2.36%     0.00%  iou-wrk-3633     [kernel.vmlinux]    [k] ret_from_fork
     2.36%     0.00%  iou-wrk-3631     [kernel.vmlinux]    [k] io_wqe_worker
     2.36%     0.00%  iou-wrk-3631     [kernel.vmlinux]    [k] ret_from_fork
     2.35%     0.00%  iou-wrk-3625     [kernel.vmlinux]    [k] io_wqe_worker
     2.35%     0.00%  iou-wrk-3625     [kernel.vmlinux]    [k] ret_from_fork
     2.35%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] io_wq_submit_work
     2.35%     0.00%  iou-wrk-3637     [kernel.vmlinux]    [k] io_wqe_worker
     2.35%     0.00%  iou-wrk-3637     [kernel.vmlinux]    [k] ret_from_fork
     2.35%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] io_issue_sqe
     2.34%     0.01%  iou-wrk-3633     [kernel.vmlinux]    [k] io_worker_handle_work
     2.34%     0.00%  iou-wrk-3646     [kernel.vmlinux]    [k] io_read
     2.34%     0.01%  iou-wrk-3631     [kernel.vmlinux]    [k] io_worker_handle_work
     2.33%     0.01%  iou-wrk-3625     [kernel.vmlinux]    [k] io_worker_handle_work
     2.32%     0.00%  iou-wrk-3645     [kernel.vmlinux]    [k] io_wqe_worker
     2.32%     0.00%  iou-wrk-3645     [kernel.vmlinux]    [k] ret_from_fork
     2.32%     0.00%  iou-wrk-3628     [kernel.vmlinux]    [k] io_wqe_worker
     2.32%     0.00%  iou-wrk-3628     [kernel.vmlinux]    [k] ret_from_fork
     2.32%     0.00%  iou-wrk-3653     [kernel.vmlinux]    [k] io_wqe_worker
     2.32%     0.00%  iou-wrk-3653     [kernel.vmlinux]    [k] ret_from_fork
     2.31%     0.01%  iou-wrk-3637     [kernel.vmlinux]    [k] io_worker_handle_work
     2.31%     0.00%  iou-wrk-3649     [kernel.vmlinux]    [k] io_wqe_worker
     2.31%     0.00%  iou-wrk-3649     [kernel.vmlinux]    [k] ret_from_fork
     2.31%     0.00%  iou-wrk-3667     [kernel.vmlinux]    [k] io_wqe_worker
     2.31%     0.00%  iou-wrk-3667     [kernel.vmlinux]    [k] ret_from_fork
     2.30%     0.00%  iou-wrk-3629     [kernel.vmlinux]    [k] io_wqe_worker
