# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31528346404172
#
# Children      Self  Command          Shared Object       Symbol                                   
# ........  ........  ...............  ..................  .........................................
#
     5.64%     0.02%  fio              [kernel.vmlinux]    [k] entry_SYSCALL_64
     5.62%     0.00%  fio              [kernel.vmlinux]    [k] do_syscall_64
     5.56%     0.02%  fio              [kernel.vmlinux]    [k] __do_sys_io_uring_enter
     5.35%     0.23%  fio              [kernel.vmlinux]    [k] io_submit_sqes
     4.65%     0.12%  fio              [kernel.vmlinux]    [k] __io_queue_sqe
     2.89%     0.03%  fio              [kernel.vmlinux]    [k] io_queue_async_work
     2.65%     0.09%  fio              [kernel.vmlinux]    [k] io_wqe_enqueue
     2.48%     0.10%  fio              [kernel.vmlinux]    [k] io_wqe_activate_free_worker
     2.40%     0.00%  kswapd0          [kernel.vmlinux]    [k] balance_pgdat
     2.40%     0.00%  kswapd0          [kernel.vmlinux]    [k] kswapd
     2.40%     0.00%  kswapd0          [kernel.vmlinux]    [k] kthread
     2.40%     0.00%  kswapd0          [kernel.vmlinux]    [k] ret_from_fork
     2.40%     0.00%  kswapd0          [kernel.vmlinux]    [k] shrink_node
     2.40%     0.00%  kswapd0          [kernel.vmlinux]    [k] shrink_lruvec
     2.32%     0.00%  iou-wrk-2924     [kernel.vmlinux]    [k] io_wqe_worker
     2.32%     0.00%  iou-wrk-2924     [kernel.vmlinux]    [k] ret_from_fork
     2.32%     0.00%  iou-wrk-2925     [kernel.vmlinux]    [k] io_wqe_worker
     2.32%     0.00%  iou-wrk-2925     [kernel.vmlinux]    [k] ret_from_fork
     2.31%     0.00%  iou-wrk-2927     [kernel.vmlinux]    [k] io_wqe_worker
     2.31%     0.00%  iou-wrk-2927     [kernel.vmlinux]    [k] ret_from_fork
     2.31%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] io_wqe_worker
     2.31%     0.00%  iou-wrk-2956     [kernel.vmlinux]    [k] ret_from_fork
     2.31%     0.00%  iou-wrk-2957     [kernel.vmlinux]    [k] io_wqe_worker
     2.31%     0.00%  iou-wrk-2957     [kernel.vmlinux]    [k] ret_from_fork
     2.30%     0.00%  iou-wrk-2954     [kernel.vmlinux]    [k] io_wqe_worker
     2.30%     0.00%  iou-wrk-2954     [kernel.vmlinux]    [k] ret_from_fork
     2.30%     0.00%  iou-wrk-2935     [kernel.vmlinux]    [k] io_wqe_worker
     2.30%     0.00%  iou-wrk-2935     [kernel.vmlinux]    [k] ret_from_fork
