# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31979551606917
#
# Children      Self  Command          Shared Object               Symbol                                              
# ........  ........  ...............  ..........................  ....................................................
#
     5.61%     0.02%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
     5.59%     0.00%  fio              [kernel.vmlinux]            [k] do_syscall_64
     5.52%     0.02%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
     5.31%     0.23%  fio              [kernel.vmlinux]            [k] io_submit_sqes
     4.62%     0.12%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
     2.87%     0.03%  fio              [kernel.vmlinux]            [k] io_queue_async_work
     2.63%     0.09%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
     2.45%     0.10%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
     2.39%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     2.39%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     2.39%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     2.39%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     2.39%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     2.39%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     2.33%     0.00%  iou-wrk-3116     [kernel.vmlinux]            [k] io_wqe_worker
     2.33%     0.00%  iou-wrk-3116     [kernel.vmlinux]            [k] ret_from_fork
     2.33%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] io_wqe_worker
     2.33%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] ret_from_fork
     2.33%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] io_wqe_worker
     2.33%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] ret_from_fork
     2.33%     0.00%  iou-wrk-3131     [kernel.vmlinux]            [k] io_wqe_worker
     2.33%     0.00%  iou-wrk-3131     [kernel.vmlinux]            [k] ret_from_fork
     2.32%     0.00%  iou-wrk-3108     [kernel.vmlinux]            [k] io_wqe_worker
     2.32%     0.00%  iou-wrk-3108     [kernel.vmlinux]            [k] ret_from_fork
     2.32%     0.00%  iou-wrk-3117     [kernel.vmlinux]            [k] io_wqe_worker
     2.32%     0.00%  iou-wrk-3117     [kernel.vmlinux]            [k] ret_from_fork
     2.32%     0.00%  iou-wrk-3134     [kernel.vmlinux]            [k] io_wqe_worker
     2.32%     0.00%  iou-wrk-3134     [kernel.vmlinux]            [k] ret_from_fork
     2.32%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] io_wqe_worker
     2.32%     0.00%  iou-wrk-3092     [kernel.vmlinux]            [k] ret_from_fork
     2.32%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] io_wqe_worker
     2.32%     0.00%  iou-wrk-3106     [kernel.vmlinux]            [k] ret_from_fork
     2.32%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] io_wqe_worker
     2.32%     0.00%  iou-wrk-3094     [kernel.vmlinux]            [k] ret_from_fork
     2.30%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] io_wqe_worker
     2.30%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] ret_from_fork
     2.30%     0.00%  iou-wrk-3113     [kernel.vmlinux]            [k] io_wqe_worker
     2.30%     0.00%  iou-wrk-3113     [kernel.vmlinux]            [k] ret_from_fork
     2.29%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] io_wqe_worker
     2.29%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] ret_from_fork
     2.29%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] io_wqe_worker
     2.29%     0.00%  iou-wrk-3098     [kernel.vmlinux]            [k] ret_from_fork
