# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31306094655244
#
# Children      Self  Command          Shared Object               Symbol                                       
# ........  ........  ...............  ..........................  .............................................
#
     5.25%     0.02%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
     5.23%     0.00%  fio              [kernel.vmlinux]            [k] do_syscall_64
     5.17%     0.02%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
     4.95%     0.22%  fio              [kernel.vmlinux]            [k] io_submit_sqes
     4.28%     0.11%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
     2.61%     0.04%  fio              [kernel.vmlinux]            [k] io_queue_async_work
     2.40%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     2.40%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     2.40%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     2.40%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     2.40%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     2.40%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     2.38%     0.09%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
     2.38%     0.00%  iou-wrk-3031     [kernel.vmlinux]            [k] io_wqe_worker
     2.38%     0.00%  iou-wrk-3031     [kernel.vmlinux]            [k] ret_from_fork
     2.37%     0.00%  iou-wrk-3043     [kernel.vmlinux]            [k] io_wqe_worker
     2.37%     0.00%  iou-wrk-3043     [kernel.vmlinux]            [k] ret_from_fork
     2.36%     0.00%  iou-wrk-3009     [kernel.vmlinux]            [k] io_wqe_worker
     2.36%     0.00%  iou-wrk-3009     [kernel.vmlinux]            [k] ret_from_fork
     2.36%     0.00%  iou-wrk-3033     [kernel.vmlinux]            [k] io_wqe_worker
     2.36%     0.00%  iou-wrk-3033     [kernel.vmlinux]            [k] ret_from_fork
     2.34%     0.01%  iou-wrk-3031     [kernel.vmlinux]            [k] io_worker_handle_work
     2.34%     0.00%  iou-wrk-3023     [kernel.vmlinux]            [k] io_wqe_worker
     2.34%     0.00%  iou-wrk-3023     [kernel.vmlinux]            [k] ret_from_fork
     2.34%     0.00%  iou-wrk-3034     [kernel.vmlinux]            [k] io_wqe_worker
     2.34%     0.00%  iou-wrk-3034     [kernel.vmlinux]            [k] ret_from_fork
     2.34%     0.01%  iou-wrk-3033     [kernel.vmlinux]            [k] io_worker_handle_work
     2.34%     0.01%  iou-wrk-3043     [kernel.vmlinux]            [k] io_worker_handle_work
     2.34%     0.00%  iou-wrk-3021     [kernel.vmlinux]            [k] io_wqe_worker
     2.34%     0.00%  iou-wrk-3021     [kernel.vmlinux]            [k] ret_from_fork
     2.33%     0.01%  iou-wrk-3009     [kernel.vmlinux]            [k] io_worker_handle_work
     2.32%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] io_wqe_worker
     2.32%     0.00%  iou-wrk-3012     [kernel.vmlinux]            [k] ret_from_fork
     2.32%     0.00%  iou-wrk-3028     [kernel.vmlinux]            [k] io_wqe_worker
     2.32%     0.00%  iou-wrk-3028     [kernel.vmlinux]            [k] ret_from_fork
     2.32%     0.00%  iou-wrk-3015     [kernel.vmlinux]            [k] io_wqe_worker
     2.32%     0.00%  iou-wrk-3015     [kernel.vmlinux]            [k] ret_from_fork
     2.31%     0.00%  iou-wrk-3013     [kernel.vmlinux]            [k] io_wqe_worker
     2.31%     0.00%  iou-wrk-3013     [kernel.vmlinux]            [k] ret_from_fork
     2.31%     0.00%  iou-wrk-3037     [kernel.vmlinux]            [k] io_wqe_worker
     2.31%     0.00%  iou-wrk-3037     [kernel.vmlinux]            [k] ret_from_fork
     2.31%     0.00%  iou-wrk-3022     [kernel.vmlinux]            [k] io_wqe_worker
     2.31%     0.00%  iou-wrk-3022     [kernel.vmlinux]            [k] ret_from_fork
     2.31%     0.00%  iou-wrk-3016     [kernel.vmlinux]            [k] io_wqe_worker
     2.31%     0.00%  iou-wrk-3016     [kernel.vmlinux]            [k] ret_from_fork
     2.30%     0.00%  iou-wrk-3039     [kernel.vmlinux]            [k] io_wqe_worker
