# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32050145111127
#
# Children      Self  Command          Shared Object       Symbol                                        
# ........  ........  ...............  ..................  ..............................................
#
     4.21%     0.02%  fio              [kernel.vmlinux]    [k] entry_SYSCALL_64
     4.19%     0.00%  fio              [kernel.vmlinux]    [k] do_syscall_64
     4.12%     0.03%  fio              [kernel.vmlinux]    [k] __do_sys_io_uring_enter
     3.82%     0.20%  fio              [kernel.vmlinux]    [k] io_submit_sqes
     3.00%     0.09%  fio              [kernel.vmlinux]    [k] __io_queue_sqe
     1.70%     0.03%  fio              [kernel.vmlinux]    [k] io_queue_async_work
     1.41%     0.09%  fio              [kernel.vmlinux]    [k] io_wqe_enqueue
     1.21%     0.06%  fio              [kernel.vmlinux]    [k] io_wqe_activate_free_worker
     1.21%     0.06%  fio              [kernel.vmlinux]    [k] io_issue_sqe
     1.21%     0.00%  iou-wrk-3328     [kernel.vmlinux]    [k] io_wqe_worker
     1.21%     0.00%  iou-wrk-3328     [kernel.vmlinux]    [k] ret_from_fork
     1.21%     0.00%  iou-wrk-3314     [kernel.vmlinux]    [k] io_wqe_worker
     1.21%     0.00%  iou-wrk-3314     [kernel.vmlinux]    [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3312     [kernel.vmlinux]    [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3312     [kernel.vmlinux]    [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3271     [kernel.vmlinux]    [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3271     [kernel.vmlinux]    [k] ret_from_fork
     1.20%     0.01%  iou-wrk-3314     [kernel.vmlinux]    [k] io_worker_handle_work
     1.20%     0.01%  iou-wrk-3328     [kernel.vmlinux]    [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-3293     [kernel.vmlinux]    [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3293     [kernel.vmlinux]    [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3329     [kernel.vmlinux]    [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3329     [kernel.vmlinux]    [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3315     [kernel.vmlinux]    [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3315     [kernel.vmlinux]    [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3286     [kernel.vmlinux]    [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3286     [kernel.vmlinux]    [k] ret_from_fork
     1.19%     0.01%  iou-wrk-3271     [kernel.vmlinux]    [k] io_worker_handle_work
     1.19%     0.01%  iou-wrk-3329     [kernel.vmlinux]    [k] io_worker_handle_work
     1.19%     0.01%  iou-wrk-3312     [kernel.vmlinux]    [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3345     [kernel.vmlinux]    [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3345     [kernel.vmlinux]    [k] ret_from_fork
     1.19%     0.01%  iou-wrk-3293     [kernel.vmlinux]    [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3289     [kernel.vmlinux]    [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3289     [kernel.vmlinux]    [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3326     [kernel.vmlinux]    [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3326     [kernel.vmlinux]    [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3283     [kernel.vmlinux]    [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3283     [kernel.vmlinux]    [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3344     [kernel.vmlinux]    [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3344     [kernel.vmlinux]    [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3295     [kernel.vmlinux]    [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3295     [kernel.vmlinux]    [k] ret_from_fork
     1.19%     0.01%  iou-wrk-3345     [kernel.vmlinux]    [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3294     [kernel.vmlinux]    [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3294     [kernel.vmlinux]    [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3339     [kernel.vmlinux]    [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3339     [kernel.vmlinux]    [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3270     [kernel.vmlinux]    [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3270     [kernel.vmlinux]    [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3302     [kernel.vmlinux]    [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3302     [kernel.vmlinux]    [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3340     [kernel.vmlinux]    [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3340     [kernel.vmlinux]    [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3300     [kernel.vmlinux]    [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3300     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.01%  iou-wrk-3315     [kernel.vmlinux]    [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3264     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3264     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3303     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3303     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3319     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3319     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3324     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3324     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3304     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3304     [kernel.vmlinux]    [k] ret_from_fork
     1.18%     0.01%  iou-wrk-3326     [kernel.vmlinux]    [k] io_worker_handle_work
     1.18%     0.01%  iou-wrk-3286     [kernel.vmlinux]    [k] io_worker_handle_work
     1.18%     0.01%  iou-wrk-3289     [kernel.vmlinux]    [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3288     [kernel.vmlinux]    [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3288     [kernel.vmlinux]    [k] ret_from_fork
