# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 895K of event 'cycles'
# Event count (approx.): 94767389225873
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     4.02%     0.02%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
     4.00%     0.00%  fio              [kernel.vmlinux]            [k] do_syscall_64
     3.94%     0.03%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
     3.63%     0.18%  fio              [kernel.vmlinux]            [k] io_submit_sqes
     2.83%     0.08%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
     1.60%     0.03%  fio              [kernel.vmlinux]            [k] io_queue_async_work
     1.33%     0.09%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
     1.23%     0.00%  iou-wrk-2985     [kernel.vmlinux]            [k] io_wqe_worker
     1.23%     0.00%  iou-wrk-2985     [kernel.vmlinux]            [k] ret_from_fork
     1.23%     0.01%  iou-wrk-2985     [kernel.vmlinux]            [k] io_worker_handle_work
     1.22%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     1.22%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     1.22%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     1.22%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     1.22%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     1.22%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     1.20%     0.01%  iou-wrk-2934     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-2934     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-2934     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3007     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.01%  iou-wrk-2955     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-2955     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-2955     [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.00%  iou-wrk-2954     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-2954     [kernel.vmlinux]            [k] ret_from_fork
     1.19%     0.00%  iou-wrk-2948     [kernel.vmlinux]            [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-2948     [kernel.vmlinux]            [k] ret_from_fork
     1.19%     0.00%  iou-wrk-2985     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.00%  iou-wrk-2981     [kernel.vmlinux]            [k] io_wqe_worker
