# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31570845903901
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
     3.40%     0.02%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
     3.38%     0.00%  fio              [kernel.vmlinux]            [k] do_syscall_64
     3.33%     0.03%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
     2.98%     0.17%  fio              [kernel.vmlinux]            [k] io_submit_sqes
     2.19%     0.08%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
     1.23%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     1.23%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     1.23%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     1.23%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     1.23%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     1.23%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     1.22%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] io_wqe_worker
     1.22%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] ret_from_fork
     1.22%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] io_worker_handle_work
     1.22%     0.01%  iou-wrk-3109     [kernel.vmlinux]            [k] io_worker_handle_work
     1.22%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] io_wqe_worker
     1.22%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] ret_from_fork
     1.22%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] io_wqe_worker
     1.22%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] ret_from_fork
     1.21%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] io_worker_handle_work
     1.21%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] io_wqe_worker
     1.21%     0.00%  iou-wrk-3104     [kernel.vmlinux]            [k] ret_from_fork
     1.21%     0.01%  iou-wrk-3104     [kernel.vmlinux]            [k] io_worker_handle_work
     1.21%     0.00%  iou-wrk-3141     [kernel.vmlinux]            [k] io_wqe_worker
