# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 897K of event 'cycles'
# Event count (approx.): 95051495853802
#
# Children      Self  Command          Shared Object               Symbol                                                 
# ........  ........  ...............  ..........................  .......................................................
#
     4.33%     0.02%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
     4.31%     0.00%  fio              [kernel.vmlinux]            [k] do_syscall_64
     4.25%     0.03%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
     3.93%     0.20%  fio              [kernel.vmlinux]            [k] io_submit_sqes
     3.13%     0.09%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
     1.83%     0.03%  fio              [kernel.vmlinux]            [k] io_queue_async_work
     1.56%     0.09%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
     1.37%     0.06%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
     1.26%     0.04%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     1.22%     0.05%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     1.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     1.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     1.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     1.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     1.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     1.20%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] ret_from_fork
     1.19%     0.01%  iou-wrk-3126     [kernel.vmlinux]            [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3112     [kernel.vmlinux]            [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3112     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3075     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3075     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3065     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3065     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3077     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3141     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3141     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3101     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3062     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3062     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3138     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3138     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3100     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3089     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3089     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3109     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3063     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3063     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3115     [kernel.vmlinux]            [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3136     [kernel.vmlinux]            [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3136     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3111     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3111     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3133     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3123     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3131     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3131     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3096     [kernel.vmlinux]            [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3070     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3070     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3082     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3082     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3095     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3103     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3120     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3120     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3088     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3128     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3128     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3105     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3105     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3071     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3107     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3118     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.01%  iou-wrk-3141     [kernel.vmlinux]            [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3121     [kernel.vmlinux]            [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3087     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3087     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3072     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3072     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3102     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3068     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3068     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.01%  iou-wrk-3112     [kernel.vmlinux]            [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3084     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3084     [kernel.vmlinux]            [k] ret_from_fork
     1.17%     0.01%  iou-wrk-3093     [kernel.vmlinux]            [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3083     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3132     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3132     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3078     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3078     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.10%  fio              [kernel.vmlinux]            [k] io_read
     1.16%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3110     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3081     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3081     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3137     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3129     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3129     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3097     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3126     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3113     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3113     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.00%  iou-wrk-3080     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3080     [kernel.vmlinux]            [k] ret_from_fork
     1.16%     0.01%  iou-wrk-3109     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3074     [kernel.vmlinux]            [k] io_wqe_worker
     1.16%     0.00%  iou-wrk-3074     [kernel.vmlinux]            [k] ret_from_fork
