# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 31618580708647
#
# Children      Self  Command          Shared Object         Symbol                                        
# ........  ........  ...............  ....................  ..............................................
#
     4.20%     0.02%  fio              [kernel.vmlinux]      [k] entry_SYSCALL_64
     4.17%     0.00%  fio              [kernel.vmlinux]      [k] do_syscall_64
     4.11%     0.03%  fio              [kernel.vmlinux]      [k] __do_sys_io_uring_enter
     3.79%     0.20%  fio              [kernel.vmlinux]      [k] io_submit_sqes
     2.96%     0.09%  fio              [kernel.vmlinux]      [k] __io_queue_sqe
     1.69%     0.03%  fio              [kernel.vmlinux]      [k] io_queue_async_work
     1.40%     0.09%  fio              [kernel.vmlinux]      [k] io_wqe_enqueue
     1.21%     0.00%  kswapd0          [kernel.vmlinux]      [k] shrink_node
     1.21%     0.00%  kswapd0          [kernel.vmlinux]      [k] balance_pgdat
     1.21%     0.00%  kswapd0          [kernel.vmlinux]      [k] kswapd
     1.21%     0.00%  kswapd0          [kernel.vmlinux]      [k] kthread
     1.21%     0.00%  kswapd0          [kernel.vmlinux]      [k] ret_from_fork
     1.21%     0.00%  kswapd0          [kernel.vmlinux]      [k] shrink_lruvec
     1.20%     0.06%  fio              [kernel.vmlinux]      [k] io_wqe_activate_free_worker
     1.20%     0.00%  iou-wrk-3100     [kernel.vmlinux]      [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3100     [kernel.vmlinux]      [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3068     [kernel.vmlinux]      [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3068     [kernel.vmlinux]      [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3075     [kernel.vmlinux]      [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3075     [kernel.vmlinux]      [k] ret_from_fork
     1.20%     0.00%  iou-wrk-3043     [kernel.vmlinux]      [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3043     [kernel.vmlinux]      [k] ret_from_fork
     1.20%     0.01%  iou-wrk-3100     [kernel.vmlinux]      [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-3086     [kernel.vmlinux]      [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3086     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3032     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3032     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.01%  iou-wrk-3068     [kernel.vmlinux]      [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3056     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3056     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3033     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3033     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3035     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3035     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.01%  iou-wrk-3075     [kernel.vmlinux]      [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3080     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3080     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3092     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3092     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.01%  iou-wrk-3043     [kernel.vmlinux]      [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3048     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3048     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3054     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3054     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.06%  fio              [kernel.vmlinux]      [k] io_issue_sqe
     1.19%     0.00%  iou-wrk-3053     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3053     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.01%  iou-wrk-3056     [kernel.vmlinux]      [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3027     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3027     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3037     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3037     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3063     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3063     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.01%  iou-wrk-3035     [kernel.vmlinux]      [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3048     [kernel.vmlinux]      [k] io_worker_handle_work
     1.19%     0.01%  iou-wrk-3086     [kernel.vmlinux]      [k] io_worker_handle_work
