# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 894K of event 'cycles'
# Event count (approx.): 94501789192307
#
# Children      Self  Command          Shared Object         Symbol                                        
# ........  ........  ...............  ....................  ..............................................
#
     4.47%     0.02%  fio              [kernel.vmlinux]      [k] entry_SYSCALL_64
     4.44%     0.00%  fio              [kernel.vmlinux]      [k] do_syscall_64
     4.38%     0.03%  fio              [kernel.vmlinux]      [k] __do_sys_io_uring_enter
     4.10%     0.20%  fio              [kernel.vmlinux]      [k] io_submit_sqes
     3.28%     0.10%  fio              [kernel.vmlinux]      [k] __io_queue_sqe
     1.94%     0.03%  fio              [kernel.vmlinux]      [k] io_queue_async_work
     1.67%     0.09%  fio              [kernel.vmlinux]      [k] io_wqe_enqueue
     1.49%     0.05%  fio              [kernel.vmlinux]      [k] io_wqe_activate_free_worker
     1.38%     0.04%  fio              [kernel.vmlinux]      [k] try_to_wake_up
     1.25%     0.06%  fio              [kernel.vmlinux]      [k] io_issue_sqe
     1.23%     0.00%  kswapd0          [kernel.vmlinux]      [k] balance_pgdat
     1.23%     0.00%  kswapd0          [kernel.vmlinux]      [k] kswapd
     1.23%     0.00%  kswapd0          [kernel.vmlinux]      [k] kthread
     1.23%     0.00%  kswapd0          [kernel.vmlinux]      [k] ret_from_fork
     1.23%     0.00%  kswapd0          [kernel.vmlinux]      [k] shrink_node
     1.23%     0.00%  kswapd0          [kernel.vmlinux]      [k] shrink_lruvec
     1.20%     0.00%  iou-wrk-3164     [kernel.vmlinux]      [k] io_wqe_worker
     1.20%     0.00%  iou-wrk-3164     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3151     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3151     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.10%  fio              [kernel.vmlinux]      [k] io_read
     1.19%     0.00%  iou-wrk-3184     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3184     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3164     [kernel.vmlinux]      [k] io_worker_handle_work
     1.19%     0.00%  iou-wrk-3139     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3139     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3129     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3129     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3136     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3136     [kernel.vmlinux]      [k] ret_from_fork
     1.19%     0.00%  iou-wrk-3178     [kernel.vmlinux]      [k] io_wqe_worker
     1.19%     0.00%  iou-wrk-3178     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3150     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3150     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3121     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3121     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3167     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3167     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3152     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3152     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.01%  iou-wrk-3139     [kernel.vmlinux]      [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3132     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3132     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3194     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3194     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3197     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3197     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3138     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3138     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3187     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3187     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3125     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3125     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3135     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3135     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3196     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3196     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3188     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3188     [kernel.vmlinux]      [k] ret_from_fork
     1.18%     0.00%  iou-wrk-3163     [kernel.vmlinux]      [k] io_wqe_worker
     1.18%     0.00%  iou-wrk-3163     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3131     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3131     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3123     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3123     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.01%  iou-wrk-3184     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.01%  iou-wrk-3167     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3129     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3166     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3166     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3147     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3147     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3191     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3191     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3161     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3161     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3128     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3128     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3150     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3186     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3186     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3177     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3177     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3136     [kernel.vmlinux]      [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3172     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3172     [kernel.vmlinux]      [k] ret_from_fork
     1.17%     0.00%  iou-wrk-3162     [kernel.vmlinux]      [k] io_wqe_worker
     1.17%     0.00%  iou-wrk-3162     [kernel.vmlinux]      [k] ret_from_fork
