# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cycles'
# Event count (approx.): 8473004961970
#
# Children      Self  Command          Shared Object               Symbol                                  
# ........  ........  ...............  ..........................  ........................................
#
    24.27%     0.03%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
    24.24%     0.01%  fio              [kernel.vmlinux]            [k] do_syscall_64
    23.80%     0.03%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
    23.73%     0.66%  fio              [kernel.vmlinux]            [k] io_submit_sqes
    22.00%     0.39%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
    15.08%     0.06%  fio              [kernel.vmlinux]            [k] io_queue_async_work
    14.63%     0.21%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
    14.17%     0.24%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
    13.74%     0.34%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     6.68%     0.10%  fio              [kernel.vmlinux]            [k] ttwu_do_activate
     6.53%     0.27%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     6.26%     0.35%  fio              [kernel.vmlinux]            [k] io_read
     5.29%     0.34%  fio              [kernel.vmlinux]            [k] io_setup_async_rw
     4.84%     0.54%  fio              [kernel.vmlinux]            [k] __kmalloc
     4.08%     1.72%  fio              [kernel.vmlinux]            [k] select_task_rq_fair
     4.03%     0.18%  fio              [kernel.vmlinux]            [k] __cond_resched
     3.91%     0.68%  fio              [kernel.vmlinux]            [k] __sched_text_start
     3.84%     0.13%  fio              [kernel.vmlinux]            [k] preempt_schedule_common
     3.60%     0.44%  fio              [kernel.vmlinux]            [k] enqueue_task_fair
     2.96%     0.19%  fio              [kernel.vmlinux]            [k] psi_task_change
     2.37%     2.35%  fio              [kernel.vmlinux]            [k] psi_group_change
     2.33%     0.01%  swapper          [kernel.vmlinux]            [k] do_idle
     2.33%     0.00%  swapper          [kernel.vmlinux]            [k] cpu_startup_entry
     2.33%     0.00%  swapper          [kernel.vmlinux]            [k] secondary_startup_64_no_verify
