# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 50691462906819
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
    24.65%     0.03%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
    24.62%     0.01%  fio              [kernel.vmlinux]            [k] do_syscall_64
    24.32%     0.03%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
    24.25%     0.68%  fio              [kernel.vmlinux]            [k] io_submit_sqes
    22.42%     0.44%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
    15.19%     0.07%  fio              [kernel.vmlinux]            [k] io_queue_async_work
    14.71%     0.23%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
    14.21%     0.26%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
    13.71%     0.36%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     6.79%     0.29%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     6.76%     0.12%  fio              [kernel.vmlinux]            [k] ttwu_do_activate
     6.50%     0.36%  fio              [kernel.vmlinux]            [k] io_read
     5.60%     0.33%  fio              [kernel.vmlinux]            [k] io_setup_async_rw
     5.13%     0.53%  fio              [kernel.vmlinux]            [k] __kmalloc
     4.43%     0.18%  fio              [kernel.vmlinux]            [k] __cond_resched
     4.24%     0.13%  fio              [kernel.vmlinux]            [k] preempt_schedule_common
     4.24%     0.70%  fio              [kernel.vmlinux]            [k] __sched_text_start
     4.02%     1.72%  fio              [kernel.vmlinux]            [k] select_task_rq_fair
     3.70%     0.50%  fio              [kernel.vmlinux]            [k] enqueue_task_fair
     2.95%     0.19%  fio              [kernel.vmlinux]            [k] psi_task_change
     2.34%     2.32%  fio              [kernel.vmlinux]            [k] psi_group_change
     2.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     2.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     2.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     2.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     2.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     2.20%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     2.02%     0.25%  fio              [kernel.vmlinux]            [k] pick_next_task_fair
     1.80%     0.01%  iou-wrk-2994     [kernel.vmlinux]            [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-2994     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-2984     [kernel.vmlinux]            [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-2984     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-2958     [kernel.vmlinux]            [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-2958     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-2986     [kernel.vmlinux]            [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-2986     [kernel.vmlinux]            [k] ret_from_fork
     1.78%     0.01%  iou-wrk-2963     [kernel.vmlinux]            [k] io_wqe_worker
     1.78%     0.00%  iou-wrk-2963     [kernel.vmlinux]            [k] ret_from_fork
     1.77%     0.01%  iou-wrk-2972     [kernel.vmlinux]            [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-2972     [kernel.vmlinux]            [k] ret_from_fork
     1.77%     0.01%  iou-wrk-2976     [kernel.vmlinux]            [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-2976     [kernel.vmlinux]            [k] ret_from_fork
     1.77%     0.01%  iou-wrk-2993     [kernel.vmlinux]            [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-2993     [kernel.vmlinux]            [k] ret_from_fork
     1.77%     0.01%  iou-wrk-2967     [kernel.vmlinux]            [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-2967     [kernel.vmlinux]            [k] ret_from_fork
     1.76%     0.01%  iou-wrk-2977     [kernel.vmlinux]            [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-2977     [kernel.vmlinux]            [k] ret_from_fork
     1.76%     0.01%  iou-wrk-2961     [kernel.vmlinux]            [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-2961     [kernel.vmlinux]            [k] ret_from_fork
     1.76%     0.01%  iou-wrk-2960     [kernel.vmlinux]            [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-2960     [kernel.vmlinux]            [k] ret_from_fork
     1.76%     0.01%  iou-wrk-2981     [kernel.vmlinux]            [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-2981     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.71%  fio              [kernel.vmlinux]            [k] update_load_avg
     1.75%     0.01%  iou-wrk-2970     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-2970     [kernel.vmlinux]            [k] ret_from_fork
     1.74%     0.01%  iou-wrk-2962     [kernel.vmlinux]            [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-2962     [kernel.vmlinux]            [k] ret_from_fork
     1.74%     0.01%  iou-wrk-2956     [kernel.vmlinux]            [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-2956     [kernel.vmlinux]            [k] ret_from_fork
     1.74%     0.01%  iou-wrk-2959     [kernel.vmlinux]            [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-2959     [kernel.vmlinux]            [k] ret_from_fork
     1.73%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_inactive_list
     1.73%     0.01%  iou-wrk-2971     [kernel.vmlinux]            [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-2971     [kernel.vmlinux]            [k] ret_from_fork
     1.73%     0.01%  iou-wrk-2989     [kernel.vmlinux]            [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-2989     [kernel.vmlinux]            [k] ret_from_fork
     1.73%     0.01%  iou-wrk-2957     [kernel.vmlinux]            [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-2957     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.01%  iou-wrk-2969     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-2969     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.01%  iou-wrk-2991     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-2991     [kernel.vmlinux]            [k] ret_from_fork
     1.71%     0.01%  iou-wrk-2982     [kernel.vmlinux]            [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-2982     [kernel.vmlinux]            [k] ret_from_fork
     1.71%     0.01%  iou-wrk-2978     [kernel.vmlinux]            [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-2978     [kernel.vmlinux]            [k] ret_from_fork
     1.71%     0.01%  iou-wrk-2995     [kernel.vmlinux]            [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-2995     [kernel.vmlinux]            [k] ret_from_fork
     1.71%     0.01%  iou-wrk-2979     [kernel.vmlinux]            [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-2979     [kernel.vmlinux]            [k] ret_from_fork
     1.70%     0.01%  iou-wrk-2964     [kernel.vmlinux]            [k] io_wqe_worker
     1.70%     0.00%  iou-wrk-2964     [kernel.vmlinux]            [k] ret_from_fork
     1.70%     0.42%  fio              [kernel.vmlinux]            [k] enqueue_entity
     1.70%     0.01%  iou-wrk-2975     [kernel.vmlinux]            [k] io_wqe_worker
     1.70%     0.00%  iou-wrk-2975     [kernel.vmlinux]            [k] ret_from_fork
     1.70%     0.01%  iou-wrk-2966     [kernel.vmlinux]            [k] io_wqe_worker
     1.70%     0.00%  iou-wrk-2966     [kernel.vmlinux]            [k] ret_from_fork
     1.70%     0.01%  iou-wrk-2990     [kernel.vmlinux]            [k] io_wqe_worker
     1.70%     0.00%  iou-wrk-2990     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.01%  iou-wrk-2980     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-2980     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.01%  iou-wrk-2968     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-2968     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.01%  iou-wrk-2983     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-2983     [kernel.vmlinux]            [k] ret_from_fork
     1.68%     0.01%  iou-wrk-2985     [kernel.vmlinux]            [k] io_wqe_worker
     1.68%     0.00%  iou-wrk-2985     [kernel.vmlinux]            [k] ret_from_fork
     1.68%     0.01%  iou-wrk-2965     [kernel.vmlinux]            [k] io_wqe_worker
     1.68%     0.00%  iou-wrk-2965     [kernel.vmlinux]            [k] ret_from_fork
     1.68%     0.01%  iou-wrk-2973     [kernel.vmlinux]            [k] io_wqe_worker
     1.68%     0.00%  iou-wrk-2973     [kernel.vmlinux]            [k] ret_from_fork
     1.67%     0.01%  iou-wrk-2992     [kernel.vmlinux]            [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-2992     [kernel.vmlinux]            [k] ret_from_fork
     1.66%     0.01%  iou-wrk-2987     [kernel.vmlinux]            [k] io_wqe_worker
     1.66%     0.00%  iou-wrk-2987     [kernel.vmlinux]            [k] ret_from_fork
     1.65%     0.01%  iou-wrk-2988     [kernel.vmlinux]            [k] io_wqe_worker
     1.65%     0.00%  iou-wrk-2988     [kernel.vmlinux]            [k] ret_from_fork
     1.64%     0.01%  iou-wrk-2974     [kernel.vmlinux]            [k] io_wqe_worker
     1.64%     0.00%  iou-wrk-2974     [kernel.vmlinux]            [k] ret_from_fork
     1.45%     0.00%  swapper          [kernel.vmlinux]            [k] cpu_startup_entry
     1.45%     0.00%  swapper          [kernel.vmlinux]            [k] secondary_startup_64_no_verify
     1.45%     0.02%  swapper          [kernel.vmlinux]            [k] do_idle
     1.42%     0.00%  swapper          [kernel.vmlinux]            [k] start_secondary
     1.33%     0.66%  fio              [kernel.vmlinux]            [k] _raw_spin_lock
     1.31%     0.02%  iou-wrk-2994     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.02%  iou-wrk-2984     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.07%  kswapd0          [kernel.vmlinux]            [k] shrink_page_list
     1.29%     0.02%  iou-wrk-2958     [kernel.vmlinux]            [k] io_worker_handle_work
     1.29%     0.02%  iou-wrk-2986     [kernel.vmlinux]            [k] io_worker_handle_work
     1.29%     0.02%  iou-wrk-2963     [kernel.vmlinux]            [k] io_worker_handle_work
     1.28%     0.02%  iou-wrk-2993     [kernel.vmlinux]            [k] io_worker_handle_work
     1.28%     0.02%  iou-wrk-2960     [kernel.vmlinux]            [k] io_worker_handle_work
     1.28%     0.02%  iou-wrk-2961     [kernel.vmlinux]            [k] io_worker_handle_work
     1.28%     0.02%  iou-wrk-2976     [kernel.vmlinux]            [k] io_worker_handle_work
     1.28%     0.02%  iou-wrk-2981     [kernel.vmlinux]            [k] io_worker_handle_work
     1.28%     0.02%  iou-wrk-2967     [kernel.vmlinux]            [k] io_worker_handle_work
     1.28%     0.02%  iou-wrk-2972     [kernel.vmlinux]            [k] io_worker_handle_work
     1.27%     0.02%  iou-wrk-2962     [kernel.vmlinux]            [k] io_worker_handle_work
     1.27%     0.02%  iou-wrk-2977     [kernel.vmlinux]            [k] io_worker_handle_work
     1.26%     0.02%  iou-wrk-2959     [kernel.vmlinux]            [k] io_worker_handle_work
     1.26%     0.02%  iou-wrk-2956     [kernel.vmlinux]            [k] io_worker_handle_work
     1.26%     0.01%  iou-wrk-2971     [kernel.vmlinux]            [k] io_worker_handle_work
     1.26%     0.02%  iou-wrk-2970     [kernel.vmlinux]            [k] io_worker_handle_work
     1.25%     0.02%  iou-wrk-2969     [kernel.vmlinux]            [k] io_worker_handle_work
     1.25%     0.02%  iou-wrk-2957     [kernel.vmlinux]            [k] io_worker_handle_work
     1.25%     0.02%  iou-wrk-2991     [kernel.vmlinux]            [k] io_worker_handle_work
     1.24%     0.02%  iou-wrk-2989     [kernel.vmlinux]            [k] io_worker_handle_work
     1.24%     0.02%  iou-wrk-2995     [kernel.vmlinux]            [k] io_worker_handle_work
     1.24%     0.02%  iou-wrk-2964     [kernel.vmlinux]            [k] io_worker_handle_work
     1.24%     0.02%  iou-wrk-2979     [kernel.vmlinux]            [k] io_worker_handle_work
     1.24%     0.02%  iou-wrk-2982     [kernel.vmlinux]            [k] io_worker_handle_work
     1.23%     0.02%  iou-wrk-2980     [kernel.vmlinux]            [k] io_worker_handle_work
     1.23%     0.02%  iou-wrk-2968     [kernel.vmlinux]            [k] io_worker_handle_work
     1.23%     0.02%  iou-wrk-2975     [kernel.vmlinux]            [k] io_worker_handle_work
     1.23%     0.02%  iou-wrk-2978     [kernel.vmlinux]            [k] io_worker_handle_work
     1.23%     0.02%  iou-wrk-2990     [kernel.vmlinux]            [k] io_worker_handle_work
     1.23%     0.02%  iou-wrk-2966     [kernel.vmlinux]            [k] io_worker_handle_work
     1.23%     0.02%  iou-wrk-2983     [kernel.vmlinux]            [k] io_worker_handle_work
     1.22%     0.02%  iou-wrk-2965     [kernel.vmlinux]            [k] io_worker_handle_work
     1.22%     0.02%  iou-wrk-2985     [kernel.vmlinux]            [k] io_worker_handle_work
     1.22%     0.02%  iou-wrk-2987     [kernel.vmlinux]            [k] io_worker_handle_work
     1.22%     0.02%  iou-wrk-2973     [kernel.vmlinux]            [k] io_worker_handle_work
     1.21%     0.01%  iou-wrk-2992     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.02%  iou-wrk-2974     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.02%  iou-wrk-2988     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-2984     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.00%  iou-wrk-2994     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.01%  iou-wrk-2984     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.01%  iou-wrk-2994     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.01%  iou-wrk-2984     [kernel.vmlinux]            [k] io_read
     1.19%     0.01%  iou-wrk-2994     [kernel.vmlinux]            [k] io_read
     1.19%     0.00%  iou-wrk-2986     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.01%  iou-wrk-2986     [kernel.vmlinux]            [k] io_issue_sqe
