# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 41K of event 'cycles'
# Event count (approx.): 8189249817351
#
# Children      Self  Command          Shared Object               Symbol                                 
# ........  ........  ...............  ..........................  .......................................
#
    24.22%     0.03%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
    24.18%     0.00%  fio              [kernel.vmlinux]            [k] do_syscall_64
    23.92%     0.03%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
    23.85%     0.78%  fio              [kernel.vmlinux]            [k] io_submit_sqes
    21.97%     0.47%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
    14.62%     0.06%  fio              [kernel.vmlinux]            [k] io_queue_async_work
    14.16%     0.27%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
    13.53%     0.23%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
    13.11%     0.34%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     6.89%     0.26%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     6.66%     0.11%  fio              [kernel.vmlinux]            [k] ttwu_do_activate
     6.63%     0.35%  fio              [kernel.vmlinux]            [k] io_read
     5.75%     0.44%  fio              [kernel.vmlinux]            [k] io_setup_async_rw
     5.17%     0.48%  fio              [kernel.vmlinux]            [k] __kmalloc
     4.51%     0.15%  fio              [kernel.vmlinux]            [k] __cond_resched
     4.33%     0.13%  fio              [kernel.vmlinux]            [k] preempt_schedule_common
     4.32%     0.72%  fio              [kernel.vmlinux]            [k] __sched_text_start
     3.84%     1.63%  fio              [kernel.vmlinux]            [k] select_task_rq_fair
     3.68%     0.69%  fio              [kernel.vmlinux]            [k] enqueue_task_fair
     2.87%     0.16%  fio              [kernel.vmlinux]            [k] psi_task_change
     2.28%     2.26%  fio              [kernel.vmlinux]            [k] psi_group_change
     2.19%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     2.19%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     2.19%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     2.19%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     2.19%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     2.19%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     2.10%     0.23%  fio              [kernel.vmlinux]            [k] pick_next_task_fair
     1.92%     0.01%  iou-wrk-3247     [kernel.vmlinux]            [k] io_wqe_worker
     1.92%     0.00%  iou-wrk-3247     [kernel.vmlinux]            [k] ret_from_fork
     1.91%     0.02%  iou-wrk-3224     [kernel.vmlinux]            [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-3224     [kernel.vmlinux]            [k] ret_from_fork
     1.89%     0.02%  iou-wrk-3249     [kernel.vmlinux]            [k] io_wqe_worker
     1.89%     0.00%  iou-wrk-3249     [kernel.vmlinux]            [k] ret_from_fork
     1.87%     0.01%  iou-wrk-3254     [kernel.vmlinux]            [k] io_wqe_worker
     1.87%     0.00%  iou-wrk-3254     [kernel.vmlinux]            [k] ret_from_fork
     1.86%     0.01%  iou-wrk-3251     [kernel.vmlinux]            [k] io_wqe_worker
     1.86%     0.00%  iou-wrk-3251     [kernel.vmlinux]            [k] ret_from_fork
     1.84%     0.01%  iou-wrk-3223     [kernel.vmlinux]            [k] io_wqe_worker
     1.84%     0.00%  iou-wrk-3223     [kernel.vmlinux]            [k] ret_from_fork
     1.84%     0.02%  iou-wrk-3256     [kernel.vmlinux]            [k] io_wqe_worker
     1.84%     0.00%  iou-wrk-3256     [kernel.vmlinux]            [k] ret_from_fork
     1.82%     0.00%  iou-wrk-3240     [kernel.vmlinux]            [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-3240     [kernel.vmlinux]            [k] ret_from_fork
     1.81%     0.66%  fio              [kernel.vmlinux]            [k] update_load_avg
     1.81%     0.01%  iou-wrk-3222     [kernel.vmlinux]            [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-3222     [kernel.vmlinux]            [k] ret_from_fork
     1.79%     0.01%  iou-wrk-3236     [kernel.vmlinux]            [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-3236     [kernel.vmlinux]            [k] ret_from_fork
     1.78%     0.01%  iou-wrk-3250     [kernel.vmlinux]            [k] io_wqe_worker
     1.78%     0.00%  iou-wrk-3250     [kernel.vmlinux]            [k] ret_from_fork
     1.78%     0.02%  iou-wrk-3221     [kernel.vmlinux]            [k] io_wqe_worker
     1.78%     0.00%  iou-wrk-3221     [kernel.vmlinux]            [k] ret_from_fork
     1.77%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_inactive_list
     1.76%     0.01%  iou-wrk-3245     [kernel.vmlinux]            [k] io_wqe_worker
     1.76%     0.00%  iou-wrk-3245     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.02%  iou-wrk-3239     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3239     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.01%  iou-wrk-3231     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3231     [kernel.vmlinux]            [k] ret_from_fork
     1.75%     0.01%  iou-wrk-3234     [kernel.vmlinux]            [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3234     [kernel.vmlinux]            [k] ret_from_fork
     1.74%     0.01%  iou-wrk-3225     [kernel.vmlinux]            [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3225     [kernel.vmlinux]            [k] ret_from_fork
     1.74%     0.02%  iou-wrk-3238     [kernel.vmlinux]            [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3238     [kernel.vmlinux]            [k] ret_from_fork
     1.74%     0.00%  iou-wrk-3230     [kernel.vmlinux]            [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3230     [kernel.vmlinux]            [k] ret_from_fork
     1.73%     0.01%  iou-wrk-3257     [kernel.vmlinux]            [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3257     [kernel.vmlinux]            [k] ret_from_fork
     1.73%     0.03%  iou-wrk-3252     [kernel.vmlinux]            [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3252     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.00%  iou-wrk-3220     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3220     [kernel.vmlinux]            [k] ret_from_fork
     1.72%     0.01%  iou-wrk-3232     [kernel.vmlinux]            [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3232     [kernel.vmlinux]            [k] ret_from_fork
     1.71%     0.00%  iou-wrk-3248     [kernel.vmlinux]            [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3248     [kernel.vmlinux]            [k] ret_from_fork
     1.71%     0.01%  iou-wrk-3253     [kernel.vmlinux]            [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3253     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.02%  iou-wrk-3229     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3229     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.02%  iou-wrk-3242     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3242     [kernel.vmlinux]            [k] ret_from_fork
     1.69%     0.01%  iou-wrk-3226     [kernel.vmlinux]            [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3226     [kernel.vmlinux]            [k] ret_from_fork
     1.68%     0.02%  iou-wrk-3258     [kernel.vmlinux]            [k] io_wqe_worker
     1.68%     0.00%  iou-wrk-3258     [kernel.vmlinux]            [k] ret_from_fork
     1.67%     0.01%  iou-wrk-3227     [kernel.vmlinux]            [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-3227     [kernel.vmlinux]            [k] ret_from_fork
     1.67%     0.01%  iou-wrk-3243     [kernel.vmlinux]            [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-3243     [kernel.vmlinux]            [k] ret_from_fork
     1.66%     0.01%  iou-wrk-3244     [kernel.vmlinux]            [k] io_wqe_worker
     1.66%     0.00%  iou-wrk-3244     [kernel.vmlinux]            [k] ret_from_fork
     1.66%     0.01%  iou-wrk-3237     [kernel.vmlinux]            [k] io_wqe_worker
     1.66%     0.00%  iou-wrk-3237     [kernel.vmlinux]            [k] ret_from_fork
     1.63%     0.01%  iou-wrk-3219     [kernel.vmlinux]            [k] io_wqe_worker
     1.63%     0.00%  iou-wrk-3219     [kernel.vmlinux]            [k] ret_from_fork
     1.62%     0.00%  iou-wrk-3235     [kernel.vmlinux]            [k] io_wqe_worker
     1.62%     0.00%  iou-wrk-3235     [kernel.vmlinux]            [k] ret_from_fork
     1.62%     0.01%  iou-wrk-3241     [kernel.vmlinux]            [k] io_wqe_worker
     1.62%     0.00%  iou-wrk-3241     [kernel.vmlinux]            [k] ret_from_fork
     1.60%     0.01%  iou-wrk-3233     [kernel.vmlinux]            [k] io_wqe_worker
     1.60%     0.00%  iou-wrk-3233     [kernel.vmlinux]            [k] ret_from_fork
     1.60%     0.02%  swapper          [kernel.vmlinux]            [k] do_idle
     1.60%     0.00%  swapper          [kernel.vmlinux]            [k] cpu_startup_entry
     1.60%     0.00%  swapper          [kernel.vmlinux]            [k] secondary_startup_64_no_verify
     1.59%     0.00%  swapper          [kernel.vmlinux]            [k] start_secondary
     1.56%     0.01%  iou-wrk-3255     [kernel.vmlinux]            [k] io_wqe_worker
     1.56%     0.00%  iou-wrk-3255     [kernel.vmlinux]            [k] ret_from_fork
     1.55%     0.01%  iou-wrk-3246     [kernel.vmlinux]            [k] io_wqe_worker
     1.55%     0.00%  iou-wrk-3246     [kernel.vmlinux]            [k] ret_from_fork
     1.53%     0.00%  iou-wrk-3228     [kernel.vmlinux]            [k] io_wqe_worker
     1.53%     0.00%  iou-wrk-3228     [kernel.vmlinux]            [k] ret_from_fork
     1.51%     0.34%  fio              [kernel.vmlinux]            [k] enqueue_entity
     1.45%     0.01%  iou-wrk-3247     [kernel.vmlinux]            [k] io_worker_handle_work
     1.40%     0.02%  iou-wrk-3251     [kernel.vmlinux]            [k] io_worker_handle_work
     1.39%     0.02%  iou-wrk-3224     [kernel.vmlinux]            [k] io_worker_handle_work
     1.37%     0.01%  iou-wrk-3254     [kernel.vmlinux]            [k] io_worker_handle_work
     1.37%     0.01%  iou-wrk-3247     [kernel.vmlinux]            [k] io_issue_sqe
     1.37%     0.00%  iou-wrk-3247     [kernel.vmlinux]            [k] io_wq_submit_work
     1.36%     0.00%  iou-wrk-3247     [kernel.vmlinux]            [k] io_read
     1.35%     0.03%  iou-wrk-3236     [kernel.vmlinux]            [k] io_worker_handle_work
     1.35%     0.01%  iou-wrk-3225     [kernel.vmlinux]            [k] io_worker_handle_work
     1.34%     0.02%  iou-wrk-3231     [kernel.vmlinux]            [k] io_worker_handle_work
     1.33%     0.03%  iou-wrk-3223     [kernel.vmlinux]            [k] io_worker_handle_work
     1.33%     0.01%  iou-wrk-3222     [kernel.vmlinux]            [k] io_worker_handle_work
     1.32%     0.01%  iou-wrk-3251     [kernel.vmlinux]            [k] io_issue_sqe
     1.32%     0.00%  iou-wrk-3251     [kernel.vmlinux]            [k] io_wq_submit_work
     1.32%     0.02%  iou-wrk-3250     [kernel.vmlinux]            [k] io_worker_handle_work
     1.32%     0.00%  iou-wrk-3251     [kernel.vmlinux]            [k] io_read
     1.31%     0.04%  iou-wrk-3247     [kernel.vmlinux]            [k] filemap_read
     1.30%     0.02%  iou-wrk-3258     [kernel.vmlinux]            [k] io_worker_handle_work
     1.30%     0.01%  iou-wrk-3224     [kernel.vmlinux]            [k] io_issue_sqe
     1.30%     0.00%  iou-wrk-3224     [kernel.vmlinux]            [k] io_wq_submit_work
     1.30%     0.01%  iou-wrk-3238     [kernel.vmlinux]            [k] io_worker_handle_work
     1.29%     0.01%  iou-wrk-3224     [kernel.vmlinux]            [k] io_read
     1.29%     0.01%  iou-wrk-3252     [kernel.vmlinux]            [k] io_worker_handle_work
     1.29%     0.07%  kswapd0          [kernel.vmlinux]            [k] shrink_page_list
     1.29%     0.02%  iou-wrk-3220     [kernel.vmlinux]            [k] io_worker_handle_work
     1.28%     0.02%  iou-wrk-3240     [kernel.vmlinux]            [k] io_worker_handle_work
     1.28%     0.02%  iou-wrk-3234     [kernel.vmlinux]            [k] io_worker_handle_work
     1.27%     0.02%  iou-wrk-3226     [kernel.vmlinux]            [k] io_worker_handle_work
     1.27%     0.00%  iou-wrk-3254     [kernel.vmlinux]            [k] io_wq_submit_work
     1.27%     0.01%  iou-wrk-3257     [kernel.vmlinux]            [k] io_worker_handle_work
     1.27%     0.00%  iou-wrk-3254     [kernel.vmlinux]            [k] io_issue_sqe
     1.26%     0.01%  iou-wrk-3253     [kernel.vmlinux]            [k] io_worker_handle_work
     1.26%     0.04%  iou-wrk-3251     [kernel.vmlinux]            [k] filemap_read
     1.26%     0.00%  iou-wrk-3254     [kernel.vmlinux]            [k] io_read
     1.26%     0.03%  iou-wrk-3227     [kernel.vmlinux]            [k] io_worker_handle_work
     1.26%     0.02%  iou-wrk-3248     [kernel.vmlinux]            [k] io_worker_handle_work
     1.26%     0.02%  iou-wrk-3249     [kernel.vmlinux]            [k] io_worker_handle_work
     1.26%     0.03%  iou-wrk-3232     [kernel.vmlinux]            [k] io_worker_handle_work
     1.26%     0.02%  iou-wrk-3239     [kernel.vmlinux]            [k] io_worker_handle_work
     1.25%     0.00%  iou-wrk-3225     [kernel.vmlinux]            [k] io_wq_submit_work
     1.25%     0.01%  iou-wrk-3225     [kernel.vmlinux]            [k] io_read
     1.25%     0.00%  iou-wrk-3225     [kernel.vmlinux]            [k] io_issue_sqe
     1.25%     0.01%  iou-wrk-3242     [kernel.vmlinux]            [k] io_worker_handle_work
     1.24%     0.01%  iou-wrk-3237     [kernel.vmlinux]            [k] io_worker_handle_work
     1.24%     0.01%  iou-wrk-3236     [kernel.vmlinux]            [k] io_read
     1.24%     0.00%  iou-wrk-3236     [kernel.vmlinux]            [k] io_issue_sqe
     1.24%     0.00%  iou-wrk-3236     [kernel.vmlinux]            [k] io_wq_submit_work
     1.24%     0.05%  iou-wrk-3224     [kernel.vmlinux]            [k] filemap_read
     1.24%     0.00%  iou-wrk-3231     [kernel.vmlinux]            [k] io_wq_submit_work
     1.23%     0.03%  iou-wrk-3235     [kernel.vmlinux]            [k] io_worker_handle_work
     1.23%     0.01%  iou-wrk-3244     [kernel.vmlinux]            [k] io_worker_handle_work
     1.23%     0.01%  iou-wrk-3231     [kernel.vmlinux]            [k] io_issue_sqe
     1.23%     0.01%  iou-wrk-3256     [kernel.vmlinux]            [k] io_worker_handle_work
     1.23%     0.02%  iou-wrk-3243     [kernel.vmlinux]            [k] io_worker_handle_work
     1.23%     0.00%  iou-wrk-3241     [kernel.vmlinux]            [k] io_worker_handle_work
     1.22%     0.01%  iou-wrk-3231     [kernel.vmlinux]            [k] io_read
     1.21%     0.05%  iou-wrk-3254     [kernel.vmlinux]            [k] filemap_read
     1.21%     0.01%  iou-wrk-3223     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.00%  iou-wrk-3223     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.00%  iou-wrk-3258     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.01%  iou-wrk-3250     [kernel.vmlinux]            [k] io_read
     1.21%     0.00%  iou-wrk-3250     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.00%  iou-wrk-3250     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.01%  iou-wrk-3258     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.00%  iou-wrk-3223     [kernel.vmlinux]            [k] io_read
     1.21%     0.01%  iou-wrk-3252     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.00%  iou-wrk-3252     [kernel.vmlinux]            [k] io_wq_submit_work
     1.21%     0.00%  iou-wrk-3222     [kernel.vmlinux]            [k] io_issue_sqe
     1.21%     0.00%  iou-wrk-3222     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.01%  iou-wrk-3220     [kernel.vmlinux]            [k] io_read
     1.20%     0.00%  iou-wrk-3220     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.00%  iou-wrk-3220     [kernel.vmlinux]            [k] io_wq_submit_work
     1.20%     0.01%  iou-wrk-3258     [kernel.vmlinux]            [k] io_read
     1.20%     0.01%  iou-wrk-3222     [kernel.vmlinux]            [k] io_read
     1.20%     0.00%  iou-wrk-3252     [kernel.vmlinux]            [k] io_read
     1.20%     0.03%  iou-wrk-3225     [kernel.vmlinux]            [k] filemap_read
     1.20%     0.03%  iou-wrk-3219     [kernel.vmlinux]            [k] io_worker_handle_work
     1.20%     0.00%  iou-wrk-3238     [kernel.vmlinux]            [k] io_issue_sqe
     1.20%     0.00%  iou-wrk-3238     [kernel.vmlinux]            [k] io_read
     1.20%     0.00%  iou-wrk-3238     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.00%  iou-wrk-3226     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.00%  iou-wrk-3240     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.00%  iou-wrk-3240     [kernel.vmlinux]            [k] io_wq_submit_work
     1.19%     0.00%  iou-wrk-3226     [kernel.vmlinux]            [k] io_issue_sqe
     1.19%     0.01%  iou-wrk-3240     [kernel.vmlinux]            [k] io_read
     1.19%     0.01%  iou-wrk-3226     [kernel.vmlinux]            [k] io_read
     1.19%     0.04%  iou-wrk-3236     [kernel.vmlinux]            [k] filemap_read
     1.18%     0.02%  iou-wrk-3230     [kernel.vmlinux]            [k] io_worker_handle_work
     1.18%     0.00%  iou-wrk-3232     [kernel.vmlinux]            [k] io_issue_sqe
     1.18%     0.00%  iou-wrk-3232     [kernel.vmlinux]            [k] io_wq_submit_work
     1.18%     0.01%  iou-wrk-3232     [kernel.vmlinux]            [k] io_read
     1.18%     0.01%  iou-wrk-3245     [kernel.vmlinux]            [k] io_worker_handle_work
     1.17%     0.02%  iou-wrk-3221     [kernel.vmlinux]            [k] io_worker_handle_work
     1.17%     0.00%  iou-wrk-3234     [kernel.vmlinux]            [k] io_wq_submit_work
     1.17%     0.04%  iou-wrk-3231     [kernel.vmlinux]            [k] filemap_read
     1.17%     0.00%  iou-wrk-3234     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.06%  iou-wrk-3250     [kernel.vmlinux]            [k] filemap_read
     1.17%     0.01%  iou-wrk-3234     [kernel.vmlinux]            [k] io_read
     1.17%     0.01%  iou-wrk-3242     [kernel.vmlinux]            [k] io_issue_sqe
     1.17%     0.00%  iou-wrk-3242     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3257     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3237     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.00%  iou-wrk-3237     [kernel.vmlinux]            [k] io_read
     1.16%     0.00%  iou-wrk-3237     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.03%  iou-wrk-3233     [kernel.vmlinux]            [k] io_worker_handle_work
     1.16%     0.00%  iou-wrk-3239     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.01%  iou-wrk-3257     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.01%  iou-wrk-3239     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.01%  iou-wrk-3242     [kernel.vmlinux]            [k] io_read
     1.16%     0.00%  iou-wrk-3227     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3249     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3248     [kernel.vmlinux]            [k] io_wq_submit_work
     1.16%     0.00%  iou-wrk-3227     [kernel.vmlinux]            [k] io_read
     1.16%     0.00%  iou-wrk-3227     [kernel.vmlinux]            [k] io_issue_sqe
     1.16%     0.01%  iou-wrk-3249     [kernel.vmlinux]            [k] io_read
     1.16%     0.00%  iou-wrk-3249     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3241     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3241     [kernel.vmlinux]            [k] io_wq_submit_work
     1.15%     0.00%  iou-wrk-3257     [kernel.vmlinux]            [k] io_read
     1.15%     0.01%  iou-wrk-3248     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.01%  iou-wrk-3241     [kernel.vmlinux]            [k] io_read
     1.15%     0.05%  iou-wrk-3258     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.01%  iou-wrk-3239     [kernel.vmlinux]            [k] io_read
     1.15%     0.04%  iou-wrk-3252     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.04%  iou-wrk-3223     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.00%  iou-wrk-3253     [kernel.vmlinux]            [k] io_issue_sqe
     1.15%     0.00%  iou-wrk-3253     [kernel.vmlinux]            [k] io_wq_submit_work
     1.15%     0.04%  iou-wrk-3238     [kernel.vmlinux]            [k] filemap_read
     1.15%     0.01%  iou-wrk-3248     [kernel.vmlinux]            [k] io_read
     1.14%     0.00%  iou-wrk-3244     [kernel.vmlinux]            [k] io_issue_sqe
     1.14%     0.00%  iou-wrk-3244     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.01%  iou-wrk-3253     [kernel.vmlinux]            [k] io_read
     1.14%     0.00%  iou-wrk-3243     [kernel.vmlinux]            [k] io_wq_submit_work
     1.14%     0.04%  iou-wrk-3220     [kernel.vmlinux]            [k] filemap_read
     1.14%     0.01%  iou-wrk-3244     [kernel.vmlinux]            [k] io_read
     1.13%     0.01%  iou-wrk-3243     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.01%  iou-wrk-3235     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3235     [kernel.vmlinux]            [k] io_wq_submit_work
     1.13%     0.01%  iou-wrk-3228     [kernel.vmlinux]            [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3243     [kernel.vmlinux]            [k] io_read
     1.13%     0.00%  iou-wrk-3256     [kernel.vmlinux]            [k] io_issue_sqe
     1.13%     0.00%  iou-wrk-3256     [kernel.vmlinux]            [k] io_wq_submit_work
     1.12%     0.58%  fio              [kernel.vmlinux]            [k] _raw_spin_lock
     1.12%     0.01%  iou-wrk-3235     [kernel.vmlinux]            [k] io_read
     1.12%     0.00%  iou-wrk-3230     [kernel.vmlinux]            [k] io_wq_submit_work
     1.12%     0.01%  iou-wrk-3256     [kernel.vmlinux]            [k] io_read
     1.12%     0.02%  iou-wrk-3226     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.00%  iou-wrk-3230     [kernel.vmlinux]            [k] io_issue_sqe
     1.12%     0.03%  iou-wrk-3237     [kernel.vmlinux]            [k] filemap_read
     1.12%     0.01%  iou-wrk-3246     [kernel.vmlinux]            [k] io_worker_handle_work
     1.12%     0.00%  iou-wrk-3219     [kernel.vmlinux]            [k] io_issue_sqe
     1.12%     0.00%  iou-wrk-3219     [kernel.vmlinux]            [k] io_wq_submit_work
     1.12%     0.01%  iou-wrk-3230     [kernel.vmlinux]            [k] io_read
     1.11%     0.00%  iou-wrk-3219     [kernel.vmlinux]            [k] io_read
     1.11%     0.03%  iou-wrk-3222     [kernel.vmlinux]            [k] filemap_read
     1.11%     0.04%  iou-wrk-3232     [kernel.vmlinux]            [k] filemap_read
     1.11%     0.04%  iou-wrk-3234     [kernel.vmlinux]            [k] filemap_read
     1.11%     0.05%  iou-wrk-3257     [kernel.vmlinux]            [k] filemap_read
     1.11%     0.04%  iou-wrk-3240     [kernel.vmlinux]            [k] filemap_read
     1.10%     0.03%  iou-wrk-3241     [kernel.vmlinux]            [k] filemap_read
     1.10%     0.02%  iou-wrk-3255     [kernel.vmlinux]            [k] io_worker_handle_work
     1.10%     0.04%  iou-wrk-3249     [kernel.vmlinux]            [k] filemap_read
     1.09%     0.04%  iou-wrk-3239     [kernel.vmlinux]            [k] filemap_read
     1.09%     0.04%  iou-wrk-3243     [kernel.vmlinux]            [k] filemap_read
     1.09%     0.05%  iou-wrk-3227     [kernel.vmlinux]            [k] filemap_read
     1.08%     0.04%  iou-wrk-3242     [kernel.vmlinux]            [k] filemap_read
     1.08%     0.00%  iou-wrk-3245     [kernel.vmlinux]            [k] io_issue_sqe
     1.08%     0.00%  iou-wrk-3245     [kernel.vmlinux]            [k] io_wq_submit_work
     1.08%     0.02%  iou-wrk-3235     [kernel.vmlinux]            [k] filemap_read
     1.08%     0.03%  iou-wrk-3244     [kernel.vmlinux]            [k] filemap_read
     1.08%     0.03%  iou-wrk-3248     [kernel.vmlinux]            [k] filemap_read
     1.08%     0.06%  iou-wrk-3253     [kernel.vmlinux]            [k] filemap_read
     1.08%     0.00%  iou-wrk-3233     [kernel.vmlinux]            [k] io_read
     1.08%     0.00%  iou-wrk-3233     [kernel.vmlinux]            [k] io_issue_sqe
     1.08%     0.00%  iou-wrk-3233     [kernel.vmlinux]            [k] io_wq_submit_work
     1.08%     0.01%  iou-wrk-3245     [kernel.vmlinux]            [k] io_read
     1.08%     1.06%  fio              [kernel.vmlinux]            [k] available_idle_cpu
     1.08%     0.01%  iou-wrk-3229     [kernel.vmlinux]            [k] io_worker_handle_work
     1.07%     0.04%  iou-wrk-3219     [kernel.vmlinux]            [k] filemap_read
     1.06%     0.03%  iou-wrk-3256     [kernel.vmlinux]            [k] filemap_read
     1.06%     0.00%  iou-wrk-3221     [kernel.vmlinux]            [k] io_wq_submit_work
     1.06%     0.00%  iou-wrk-3221     [kernel.vmlinux]            [k] io_issue_sqe
     1.06%     0.00%  iou-wrk-3228     [kernel.vmlinux]            [k] io_wq_submit_work
     1.05%     0.00%  iou-wrk-3221     [kernel.vmlinux]            [k] io_read
     1.05%     0.00%  iou-wrk-3228     [kernel.vmlinux]            [k] io_issue_sqe
     1.05%     0.00%  iou-wrk-3228     [kernel.vmlinux]            [k] io_read
     1.05%     0.05%  iou-wrk-3230     [kernel.vmlinux]            [k] filemap_read
     1.03%     0.00%  iou-wrk-3255     [kernel.vmlinux]            [k] io_wq_submit_work
     1.02%     0.01%  iou-wrk-3255     [kernel.vmlinux]            [k] io_issue_sqe
     1.02%     0.01%  iou-wrk-3246     [kernel.vmlinux]            [k] io_issue_sqe
     1.02%     0.00%  iou-wrk-3246     [kernel.vmlinux]            [k] io_wq_submit_work
     1.02%     0.00%  iou-wrk-3255     [kernel.vmlinux]            [k] io_read
     1.02%     0.04%  iou-wrk-3233     [kernel.vmlinux]            [k] filemap_read
     1.01%     0.00%  iou-wrk-3246     [kernel.vmlinux]            [k] io_read
     1.01%     0.04%  iou-wrk-3245     [kernel.vmlinux]            [k] filemap_read
     1.00%     0.00%  iou-wrk-3229     [kernel.vmlinux]            [k] io_issue_sqe
     1.00%     0.00%  iou-wrk-3229     [kernel.vmlinux]            [k] io_wq_submit_work
     1.00%     0.04%  iou-wrk-3228     [kernel.vmlinux]            [k] filemap_read
