# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 789K of event 'cycles'
# Event count (approx.): 71959522793739
#
# Children      Self  Command          Shared Object               Symbol                                        
# ........  ........  ...............  ..........................  ..............................................
#
    21.07%     0.03%  fio              [kernel.vmlinux]            [k] entry_SYSCALL_64
    21.04%     0.01%  fio              [kernel.vmlinux]            [k] do_syscall_64
    20.80%     0.04%  fio              [kernel.vmlinux]            [k] __do_sys_io_uring_enter
    20.71%     0.75%  fio              [kernel.vmlinux]            [k] io_submit_sqes
    18.90%     0.43%  fio              [kernel.vmlinux]            [k] __io_queue_sqe
    12.12%     0.06%  fio              [kernel.vmlinux]            [k] io_queue_async_work
    11.73%     0.19%  fio              [kernel.vmlinux]            [k] io_wqe_enqueue
    11.34%     0.15%  fio              [kernel.vmlinux]            [k] io_wqe_activate_free_worker
    11.04%     0.21%  fio              [kernel.vmlinux]            [k] try_to_wake_up
     6.35%     0.27%  fio              [kernel.vmlinux]            [k] io_issue_sqe
     6.09%     0.31%  fio              [kernel.vmlinux]            [k] io_read
     5.57%     0.11%  fio              [kernel.vmlinux]            [k] ttwu_do_activate
     5.28%     0.33%  fio              [kernel.vmlinux]            [k] io_setup_async_rw
     4.83%     0.49%  fio              [kernel.vmlinux]            [k] __kmalloc
     4.21%     0.17%  fio              [kernel.vmlinux]            [k] __cond_resched
     4.02%     0.13%  fio              [kernel.vmlinux]            [k] preempt_schedule_common
     4.02%     0.68%  fio              [kernel.vmlinux]            [k] __sched_text_start
     3.66%     1.64%  fio              [kernel.vmlinux]            [k] select_task_rq_fair
     2.95%     0.50%  fio              [kernel.vmlinux]            [k] enqueue_task_fair
     2.52%     0.17%  fio              [kernel.vmlinux]            [k] psi_task_change
     1.98%     0.24%  fio              [kernel.vmlinux]            [k] pick_next_task_fair
     1.97%     1.95%  fio              [kernel.vmlinux]            [k] psi_group_change
     1.48%     0.58%  fio              [kernel.vmlinux]            [k] update_load_avg
     1.33%     0.38%  fio              [kernel.vmlinux]            [k] enqueue_entity
     1.30%     0.00%  kswapd0          [kernel.vmlinux]            [k] balance_pgdat
     1.30%     0.00%  kswapd0          [kernel.vmlinux]            [k] kswapd
     1.30%     0.00%  kswapd0          [kernel.vmlinux]            [k] kthread
     1.30%     0.00%  kswapd0          [kernel.vmlinux]            [k] ret_from_fork
     1.30%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_node
     1.30%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_lruvec
     1.05%     1.03%  fio              [kernel.vmlinux]            [k] available_idle_cpu
     0.99%     0.00%  kswapd0          [kernel.vmlinux]            [k] shrink_inactive_list
     0.94%     0.00%  iou-wrk-3050     [kernel.vmlinux]            [k] io_wqe_worker
     0.94%     0.00%  iou-wrk-3050     [kernel.vmlinux]            [k] ret_from_fork
     0.94%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] io_wqe_worker
     0.94%     0.00%  iou-wrk-3064     [kernel.vmlinux]            [k] ret_from_fork
     0.94%     0.01%  iou-wrk-3081     [kernel.vmlinux]            [k] io_wqe_worker
     0.94%     0.00%  iou-wrk-3081     [kernel.vmlinux]            [k] ret_from_fork
     0.94%     0.01%  iou-wrk-3091     [kernel.vmlinux]            [k] io_wqe_worker
     0.94%     0.00%  iou-wrk-3091     [kernel.vmlinux]            [k] ret_from_fork
     0.94%     0.00%  iou-wrk-3065     [kernel.vmlinux]            [k] io_wqe_worker
     0.94%     0.00%  iou-wrk-3065     [kernel.vmlinux]            [k] ret_from_fork
     0.94%     0.01%  iou-wrk-3093     [kernel.vmlinux]            [k] io_wqe_worker
     0.94%     0.00%  iou-wrk-3093     [kernel.vmlinux]            [k] ret_from_fork
     0.94%     0.01%  iou-wrk-3048     [kernel.vmlinux]            [k] io_wqe_worker
     0.94%     0.00%  iou-wrk-3048     [kernel.vmlinux]            [k] ret_from_fork
