# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2379524085286
#
# Children      Self  Command          Shared Object     Symbol                                         
# ........  ........  ...............  ................  ...............................................
#
    28.87%     0.02%  fio              [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
    28.85%     0.00%  fio              [kernel.vmlinux]  [k] do_syscall_64
    28.67%     0.01%  fio              [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    28.61%     0.84%  fio              [kernel.vmlinux]  [k] io_submit_sqes
    25.99%     0.42%  fio              [kernel.vmlinux]  [k] __io_queue_sqe
    19.12%     0.08%  fio              [kernel.vmlinux]  [k] io_queue_async_work
    18.56%     0.18%  fio              [kernel.vmlinux]  [k] io_wqe_enqueue
    17.91%     0.64%  fio              [kernel.vmlinux]  [k] io_wqe_activate_free_worker
    16.97%     0.50%  fio              [kernel.vmlinux]  [k] try_to_wake_up
     8.20%     0.41%  fio              [kernel.vmlinux]  [k] ttwu_do_activate
     6.46%     0.30%  fio              [kernel.vmlinux]  [k] io_issue_sqe
     6.15%     0.27%  fio              [kernel.vmlinux]  [k] io_read
     5.81%     0.01%  swapper          [kernel.vmlinux]  [k] cpu_startup_entry
     5.81%     0.00%  swapper          [kernel.vmlinux]  [k] secondary_startup_64_no_verify
     5.80%     0.02%  swapper          [kernel.vmlinux]  [k] do_idle
     5.73%     0.00%  swapper          [kernel.vmlinux]  [k] start_secondary
     5.30%     0.25%  fio              [kernel.vmlinux]  [k] io_setup_async_rw
     4.97%     0.49%  fio              [kernel.vmlinux]  [k] __kmalloc
     4.39%     0.53%  fio              [kernel.vmlinux]  [k] enqueue_task_fair
     4.30%     1.98%  fio              [kernel.vmlinux]  [k] select_task_rq_fair
     4.28%     0.12%  fio              [kernel.vmlinux]  [k] __cond_resched
     4.26%     0.02%  swapper          [kernel.vmlinux]  [k] cpuidle_enter_state
     4.26%     0.00%  swapper          [kernel.vmlinux]  [k] cpuidle_enter
     4.15%     0.12%  fio              [kernel.vmlinux]  [k] preempt_schedule_common
     4.12%     0.68%  fio              [kernel.vmlinux]  [k] __schedule
     3.69%     3.69%  swapper          [kernel.vmlinux]  [k] intel_idle
     3.43%     0.23%  fio              [kernel.vmlinux]  [k] psi_task_change
     2.54%     2.50%  fio              [kernel.vmlinux]  [k] psi_group_change
     2.52%     0.42%  fio              [kernel.vmlinux]  [k] enqueue_entity
     2.26%     0.95%  fio              [kernel.vmlinux]  [k] update_load_avg
     2.23%     0.02%  iou-wrk-2957     [kernel.vmlinux]  [k] io_wqe_worker
     2.23%     0.00%  iou-wrk-2957     [kernel.vmlinux]  [k] ret_from_fork
     2.19%     0.78%  fio              [kernel.vmlinux]  [k] _raw_spin_lock
     2.13%     0.03%  iou-wrk-2981     [kernel.vmlinux]  [k] io_wqe_worker
     2.13%     0.00%  iou-wrk-2981     [kernel.vmlinux]  [k] ret_from_fork
     2.03%     0.23%  fio              [kernel.vmlinux]  [k] pick_next_task_fair
     1.97%     0.02%  iou-wrk-2964     [kernel.vmlinux]  [k] io_wqe_worker
     1.97%     0.00%  iou-wrk-2964     [kernel.vmlinux]  [k] ret_from_fork
     1.95%     0.03%  iou-wrk-2954     [kernel.vmlinux]  [k] io_wqe_worker
     1.95%     0.00%  iou-wrk-2954     [kernel.vmlinux]  [k] ret_from_fork
     1.85%     0.01%  iou-wrk-2955     [kernel.vmlinux]  [k] io_wqe_worker
     1.85%     0.00%  iou-wrk-2955     [kernel.vmlinux]  [k] ret_from_fork
     1.82%     0.02%  iou-wrk-2958     [kernel.vmlinux]  [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-2958     [kernel.vmlinux]  [k] ret_from_fork
     1.82%     0.04%  iou-wrk-2951     [kernel.vmlinux]  [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-2951     [kernel.vmlinux]  [k] ret_from_fork
     1.82%     0.03%  iou-wrk-2963     [kernel.vmlinux]  [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-2963     [kernel.vmlinux]  [k] ret_from_fork
     1.81%     0.02%  iou-wrk-2960     [kernel.vmlinux]  [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-2960     [kernel.vmlinux]  [k] ret_from_fork
     1.77%     0.01%  iou-wrk-2949     [kernel.vmlinux]  [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-2949     [kernel.vmlinux]  [k] ret_from_fork
     1.75%     0.01%  iou-wrk-2967     [kernel.vmlinux]  [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-2967     [kernel.vmlinux]  [k] ret_from_fork
     1.75%     0.02%  fio              [kernel.vmlinux]  [k] raw_spin_rq_lock_nested.constprop.0
     1.72%     0.00%  iou-wrk-2972     [kernel.vmlinux]  [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-2972     [kernel.vmlinux]  [k] ret_from_fork
     1.71%     0.02%  iou-wrk-2970     [kernel.vmlinux]  [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-2970     [kernel.vmlinux]  [k] ret_from_fork
     1.69%     0.01%  iou-wrk-2985     [kernel.vmlinux]  [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-2985     [kernel.vmlinux]  [k] ret_from_fork
     1.67%     0.03%  iou-wrk-2979     [kernel.vmlinux]  [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-2979     [kernel.vmlinux]  [k] ret_from_fork
     1.67%     0.00%  iou-wrk-2973     [kernel.vmlinux]  [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-2973     [kernel.vmlinux]  [k] ret_from_fork
