# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2293805531353
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
    27.29%     0.02%  fio              [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
    27.27%     0.02%  fio              [kernel.vmlinux]  [k] do_syscall_64
    26.97%     0.05%  fio              [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    26.87%     0.57%  fio              [kernel.vmlinux]  [k] io_submit_sqes
    25.18%     0.42%  fio              [kernel.vmlinux]  [k] __io_queue_sqe
    17.85%     0.09%  fio              [kernel.vmlinux]  [k] io_queue_async_work
    17.37%     0.20%  fio              [kernel.vmlinux]  [k] io_wqe_enqueue
    16.64%     0.42%  fio              [kernel.vmlinux]  [k] io_wqe_activate_free_worker
    16.00%     0.41%  fio              [kernel.vmlinux]  [k] try_to_wake_up
     7.64%     0.14%  fio              [kernel.vmlinux]  [k] ttwu_do_activate
     6.90%     0.22%  fio              [kernel.vmlinux]  [k] io_issue_sqe
     6.69%     0.63%  fio              [kernel.vmlinux]  [k] io_read
     5.45%     0.27%  fio              [kernel.vmlinux]  [k] io_setup_async_rw
     4.99%     0.48%  fio              [kernel.vmlinux]  [k] __kmalloc
     4.55%     1.96%  fio              [kernel.vmlinux]  [k] select_task_rq_fair
     4.43%     0.82%  fio              [kernel.vmlinux]  [k] enqueue_task_fair
     4.31%     0.09%  fio              [kernel.vmlinux]  [k] __cond_resched
     4.30%     0.05%  swapper          [kernel.vmlinux]  [k] do_idle
     4.30%     0.00%  swapper          [kernel.vmlinux]  [k] cpu_startup_entry
     4.30%     0.00%  swapper          [kernel.vmlinux]  [k] secondary_startup_64_no_verify
     4.29%     0.00%  swapper          [kernel.vmlinux]  [k] start_secondary
     4.20%     0.15%  fio              [kernel.vmlinux]  [k] preempt_schedule_common
     4.18%     0.64%  fio              [kernel.vmlinux]  [k] __schedule
     3.06%     0.23%  fio              [kernel.vmlinux]  [k] psi_task_change
     3.00%     0.01%  swapper          [kernel.vmlinux]  [k] cpuidle_enter_state
     3.00%     0.00%  swapper          [kernel.vmlinux]  [k] cpuidle_enter
     2.59%     2.59%  swapper          [kernel.vmlinux]  [k] intel_idle
     2.35%     2.35%  fio              [kernel.vmlinux]  [k] psi_group_change
     2.07%     0.56%  fio              [kernel.vmlinux]  [k] enqueue_entity
     2.01%     0.82%  fio              [kernel.vmlinux]  [k] _raw_spin_lock
     1.95%     0.25%  fio              [kernel.vmlinux]  [k] pick_next_task_fair
     1.95%     0.01%  iou-wrk-2967     [kernel.vmlinux]  [k] io_wqe_worker
     1.95%     0.00%  iou-wrk-2967     [kernel.vmlinux]  [k] ret_from_fork
     1.94%     0.02%  iou-wrk-2981     [kernel.vmlinux]  [k] io_wqe_worker
     1.94%     0.00%  iou-wrk-2981     [kernel.vmlinux]  [k] ret_from_fork
     1.93%     0.02%  iou-wrk-2960     [kernel.vmlinux]  [k] io_wqe_worker
     1.93%     0.00%  iou-wrk-2960     [kernel.vmlinux]  [k] ret_from_fork
     1.91%     0.03%  iou-wrk-2983     [kernel.vmlinux]  [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-2983     [kernel.vmlinux]  [k] ret_from_fork
     1.89%     0.00%  iou-wrk-2974     [kernel.vmlinux]  [k] io_wqe_worker
