# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 32981024708691
#
# Children      Self  Command          Shared Object       Symbol                                               
# ........  ........  ...............  ..................  .....................................................
#
    28.91%     0.01%  fio              [kernel.vmlinux]    [k] entry_SYSCALL_64_after_hwframe
    28.89%     0.01%  fio              [kernel.vmlinux]    [k] do_syscall_64
    28.60%     0.04%  fio              [kernel.vmlinux]    [k] __do_sys_io_uring_enter
    28.49%     0.78%  fio              [kernel.vmlinux]    [k] io_submit_sqes
    26.38%     0.48%  fio              [kernel.vmlinux]    [k] __io_queue_sqe
    18.61%     0.10%  fio              [kernel.vmlinux]    [k] io_queue_async_work
    17.99%     0.29%  fio              [kernel.vmlinux]    [k] io_wqe_enqueue
    17.25%     0.40%  fio              [kernel.vmlinux]    [k] io_wqe_activate_free_worker
    16.55%     0.52%  fio              [kernel.vmlinux]    [k] try_to_wake_up
     7.98%     0.16%  fio              [kernel.vmlinux]    [k] ttwu_do_activate
     7.30%     0.34%  fio              [kernel.vmlinux]    [k] io_issue_sqe
     6.97%     0.39%  fio              [kernel.vmlinux]    [k] io_read
     5.88%     0.28%  fio              [kernel.vmlinux]    [k] io_setup_async_rw
     5.41%     0.56%  fio              [kernel.vmlinux]    [k] __kmalloc
     4.63%     0.14%  fio              [kernel.vmlinux]    [k] __cond_resched
     4.53%     0.78%  fio              [kernel.vmlinux]    [k] __schedule
     4.48%     0.12%  fio              [kernel.vmlinux]    [k] preempt_schedule_common
     4.45%     0.62%  fio              [kernel.vmlinux]    [k] enqueue_task_fair
     4.33%     1.84%  fio              [kernel.vmlinux]    [k] select_task_rq_fair
     3.38%     0.22%  fio              [kernel.vmlinux]    [k] psi_task_change
     2.62%     2.60%  fio              [kernel.vmlinux]    [k] psi_group_change
     2.25%     0.55%  fio              [kernel.vmlinux]    [k] enqueue_entity
     2.23%     0.00%  swapper          [kernel.vmlinux]    [k] cpu_startup_entry
     2.23%     0.00%  swapper          [kernel.vmlinux]    [k] secondary_startup_64_no_verify
     2.23%     0.03%  swapper          [kernel.vmlinux]    [k] do_idle
     2.16%     0.00%  swapper          [kernel.vmlinux]    [k] start_secondary
     2.11%     0.79%  fio              [kernel.vmlinux]    [k] _raw_spin_lock
     2.10%     0.30%  fio              [kernel.vmlinux]    [k] pick_next_task_fair
     2.03%     0.83%  fio              [kernel.vmlinux]    [k] update_load_avg
     1.75%     0.02%  iou-wrk-3175     [kernel.vmlinux]    [k] io_wqe_worker
     1.75%     0.00%  iou-wrk-3175     [kernel.vmlinux]    [k] ret_from_fork
     1.74%     0.02%  iou-wrk-3162     [kernel.vmlinux]    [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3162     [kernel.vmlinux]    [k] ret_from_fork
     1.74%     0.01%  iou-wrk-3138     [kernel.vmlinux]    [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3138     [kernel.vmlinux]    [k] ret_from_fork
     1.74%     0.02%  iou-wrk-3144     [kernel.vmlinux]    [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3144     [kernel.vmlinux]    [k] ret_from_fork
     1.74%     0.01%  iou-wrk-3146     [kernel.vmlinux]    [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3146     [kernel.vmlinux]    [k] ret_from_fork
     1.72%     0.02%  iou-wrk-3151     [kernel.vmlinux]    [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] ret_from_fork
     1.71%     0.02%  iou-wrk-3173     [kernel.vmlinux]    [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] ret_from_fork
     1.71%     0.02%  iou-wrk-3141     [kernel.vmlinux]    [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3141     [kernel.vmlinux]    [k] ret_from_fork
     1.69%     0.01%  iou-wrk-3147     [kernel.vmlinux]    [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3147     [kernel.vmlinux]    [k] ret_from_fork
     1.69%     0.02%  iou-wrk-3171     [kernel.vmlinux]    [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3171     [kernel.vmlinux]    [k] ret_from_fork
     1.67%     0.02%  iou-wrk-3170     [kernel.vmlinux]    [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] ret_from_fork
     1.67%     0.02%  iou-wrk-3168     [kernel.vmlinux]    [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-3168     [kernel.vmlinux]    [k] ret_from_fork
     1.66%     0.02%  iou-wrk-3157     [kernel.vmlinux]    [k] io_wqe_worker
     1.66%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] ret_from_fork
     1.66%     0.03%  fio              [kernel.vmlinux]    [k] raw_spin_rq_lock_nested.constprop.0
