# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 720K of event 'cycles'
# Event count (approx.): 63497295424487
#
# Children      Self  Command          Shared Object       Symbol                                          
# ........  ........  ...............  ..................  ................................................
#
    25.38%     0.02%  fio              [kernel.vmlinux]    [k] entry_SYSCALL_64_after_hwframe
    25.36%     0.01%  fio              [kernel.vmlinux]    [k] do_syscall_64
    25.09%     0.03%  fio              [kernel.vmlinux]    [k] __do_sys_io_uring_enter
    25.02%     0.91%  fio              [kernel.vmlinux]    [k] io_submit_sqes
    22.98%     0.58%  fio              [kernel.vmlinux]    [k] __io_queue_sqe
    14.69%     0.08%  fio              [kernel.vmlinux]    [k] io_queue_async_work
    14.24%     0.23%  fio              [kernel.vmlinux]    [k] io_wqe_enqueue
    13.81%     0.17%  fio              [kernel.vmlinux]    [k] io_wqe_activate_free_worker
    13.46%     0.26%  fio              [kernel.vmlinux]    [k] try_to_wake_up
     7.72%     0.35%  fio              [kernel.vmlinux]    [k] io_issue_sqe
     7.37%     0.39%  fio              [kernel.vmlinux]    [k] io_read
     6.93%     0.17%  fio              [kernel.vmlinux]    [k] ttwu_do_activate
     6.30%     0.30%  fio              [kernel.vmlinux]    [k] io_setup_async_rw
     5.84%     0.53%  fio              [kernel.vmlinux]    [k] __kmalloc
     5.09%     0.16%  fio              [kernel.vmlinux]    [k] __cond_resched
     4.95%     0.91%  fio              [kernel.vmlinux]    [k] __schedule
     4.93%     0.14%  fio              [kernel.vmlinux]    [k] preempt_schedule_common
     4.20%     1.90%  fio              [kernel.vmlinux]    [k] select_task_rq_fair
     3.77%     0.63%  fio              [kernel.vmlinux]    [k] enqueue_task_fair
     3.01%     0.23%  fio              [kernel.vmlinux]    [k] psi_task_change
     2.35%     0.34%  fio              [kernel.vmlinux]    [k] pick_next_task_fair
     2.24%     2.22%  fio              [kernel.vmlinux]    [k] psi_group_change
     1.85%     0.53%  fio              [kernel.vmlinux]    [k] enqueue_entity
     1.81%     0.71%  fio              [kernel.vmlinux]    [k] update_load_avg
     1.20%     1.18%  fio              [kernel.vmlinux]    [k] available_idle_cpu
     0.99%     0.07%  fio              [kernel.vmlinux]    [k] ttwu_do_wakeup
     0.94%     0.47%  fio              [kernel.vmlinux]    [k] update_curr
     0.92%     0.09%  fio              [kernel.vmlinux]    [k] check_preempt_curr
     0.91%     0.01%  iou-wrk-3167     [kernel.vmlinux]    [k] io_wqe_worker
     0.91%     0.00%  iou-wrk-3167     [kernel.vmlinux]    [k] ret_from_fork
     0.91%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] io_wqe_worker
     0.91%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] ret_from_fork
     0.90%     0.01%  iou-wrk-3177     [kernel.vmlinux]    [k] io_wqe_worker
     0.90%     0.00%  iou-wrk-3177     [kernel.vmlinux]    [k] ret_from_fork
     0.90%     0.01%  iou-wrk-3184     [kernel.vmlinux]    [k] io_wqe_worker
     0.90%     0.00%  iou-wrk-3184     [kernel.vmlinux]    [k] ret_from_fork
     0.90%     0.01%  iou-wrk-3203     [kernel.vmlinux]    [k] io_wqe_worker
     0.90%     0.00%  iou-wrk-3203     [kernel.vmlinux]    [k] ret_from_fork
     0.90%     0.01%  iou-wrk-3161     [kernel.vmlinux]    [k] io_wqe_worker
     0.90%     0.00%  iou-wrk-3161     [kernel.vmlinux]    [k] ret_from_fork
     0.90%     0.01%  iou-wrk-3173     [kernel.vmlinux]    [k] io_wqe_worker
     0.90%     0.00%  iou-wrk-3173     [kernel.vmlinux]    [k] ret_from_fork
     0.90%     0.01%  iou-wrk-3178     [kernel.vmlinux]    [k] io_wqe_worker
     0.90%     0.00%  iou-wrk-3178     [kernel.vmlinux]    [k] ret_from_fork
     0.90%     0.01%  iou-wrk-3164     [kernel.vmlinux]    [k] io_wqe_worker
     0.90%     0.00%  iou-wrk-3164     [kernel.vmlinux]    [k] ret_from_fork
     0.90%     0.01%  iou-wrk-3158     [kernel.vmlinux]    [k] io_wqe_worker
     0.90%     0.00%  iou-wrk-3158     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3199     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3199     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3154     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3154     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3179     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3179     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3209     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3216     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3216     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3157     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3157     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3187     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3187     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3180     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3180     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.00%  iou-wrk-3202     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3202     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.00%  iou-wrk-3186     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3186     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3170     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3170     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3222     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3222     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3163     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3163     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3207     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3207     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3200     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.00%  iou-wrk-3191     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3191     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3226     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3208     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3208     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3218     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3218     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3151     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3151     [kernel.vmlinux]    [k] ret_from_fork
     0.88%     0.01%  iou-wrk-3192     [kernel.vmlinux]    [k] io_wqe_worker
     0.88%     0.00%  iou-wrk-3192     [kernel.vmlinux]    [k] ret_from_fork
