# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8777788382501
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
    20.35%     0.01%  fio              [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
    20.35%     0.01%  fio              [kernel.vmlinux]  [k] do_syscall_64
    20.09%     0.03%  fio              [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    20.04%     0.69%  fio              [kernel.vmlinux]  [k] io_submit_sqes
    18.51%     0.47%  fio              [kernel.vmlinux]  [k] __io_queue_sqe
    12.56%     0.07%  fio              [kernel.vmlinux]  [k] io_queue_async_work
    12.20%     0.15%  fio              [kernel.vmlinux]  [k] io_wqe_enqueue
    11.83%     0.21%  fio              [kernel.vmlinux]  [k] io_wqe_activate_free_worker
    11.48%     0.29%  fio              [kernel.vmlinux]  [k] try_to_wake_up
     5.67%     0.18%  fio              [kernel.vmlinux]  [k] ttwu_do_activate
     5.49%     0.25%  fio              [kernel.vmlinux]  [k] io_issue_sqe
     5.24%     0.35%  fio              [kernel.vmlinux]  [k] io_read
     4.35%     0.23%  fio              [kernel.vmlinux]  [k] io_setup_async_rw
     3.99%     0.35%  fio              [kernel.vmlinux]  [k] __kmalloc
     3.49%     0.09%  fio              [kernel.vmlinux]  [k] __cond_resched
     3.41%     0.73%  fio              [kernel.vmlinux]  [k] __schedule
     3.41%     0.10%  fio              [kernel.vmlinux]  [k] preempt_schedule_common
     3.28%     1.29%  fio              [kernel.vmlinux]  [k] select_task_rq_fair
     3.22%     0.45%  fio              [kernel.vmlinux]  [k] enqueue_task_fair
     2.45%     0.02%  swapper          [kernel.vmlinux]  [k] do_idle
     2.45%     0.00%  swapper          [kernel.vmlinux]  [k] cpu_startup_entry
     2.45%     0.00%  swapper          [kernel.vmlinux]  [k] secondary_startup_64_no_verify
     2.41%     0.00%  swapper          [kernel.vmlinux]  [k] start_secondary
     2.34%     0.15%  fio              [kernel.vmlinux]  [k] psi_task_change
     2.10%     0.01%  iou-wrk-3386     [kernel.vmlinux]  [k] io_wqe_worker
     2.10%     0.00%  iou-wrk-3386     [kernel.vmlinux]  [k] ret_from_fork
     2.02%     0.01%  iou-wrk-3359     [kernel.vmlinux]  [k] io_wqe_worker
     2.02%     0.00%  iou-wrk-3359     [kernel.vmlinux]  [k] ret_from_fork
     2.00%     0.00%  iou-wrk-3352     [kernel.vmlinux]  [k] io_wqe_worker
     2.00%     0.00%  iou-wrk-3352     [kernel.vmlinux]  [k] ret_from_fork
     1.99%     0.01%  iou-wrk-3384     [kernel.vmlinux]  [k] io_wqe_worker
     1.99%     0.00%  iou-wrk-3384     [kernel.vmlinux]  [k] ret_from_fork
     1.98%     0.01%  iou-wrk-3364     [kernel.vmlinux]  [k] io_wqe_worker
     1.98%     0.00%  iou-wrk-3364     [kernel.vmlinux]  [k] ret_from_fork
     1.98%     0.00%  iou-wrk-3369     [kernel.vmlinux]  [k] io_wqe_worker
     1.98%     0.00%  iou-wrk-3369     [kernel.vmlinux]  [k] ret_from_fork
     1.96%     0.01%  iou-wrk-3347     [kernel.vmlinux]  [k] io_wqe_worker
     1.96%     0.00%  iou-wrk-3347     [kernel.vmlinux]  [k] ret_from_fork
     1.96%     0.01%  iou-wrk-3344     [kernel.vmlinux]  [k] io_wqe_worker
     1.96%     0.00%  iou-wrk-3344     [kernel.vmlinux]  [k] ret_from_fork
     1.93%     0.00%  iou-wrk-3379     [kernel.vmlinux]  [k] io_wqe_worker
     1.93%     0.00%  iou-wrk-3379     [kernel.vmlinux]  [k] ret_from_fork
     1.93%     0.00%  iou-wrk-3377     [kernel.vmlinux]  [k] io_wqe_worker
     1.93%     0.00%  iou-wrk-3377     [kernel.vmlinux]  [k] ret_from_fork
     1.93%     0.01%  iou-wrk-3366     [kernel.vmlinux]  [k] io_wqe_worker
     1.93%     0.00%  iou-wrk-3366     [kernel.vmlinux]  [k] ret_from_fork
     1.93%     0.02%  iou-wrk-3348     [kernel.vmlinux]  [k] io_wqe_worker
     1.93%     0.00%  iou-wrk-3348     [kernel.vmlinux]  [k] ret_from_fork
     1.93%     0.01%  iou-wrk-3370     [kernel.vmlinux]  [k] io_wqe_worker
     1.93%     0.00%  iou-wrk-3370     [kernel.vmlinux]  [k] ret_from_fork
     1.91%     0.02%  iou-wrk-3345     [kernel.vmlinux]  [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-3345     [kernel.vmlinux]  [k] ret_from_fork
     1.90%     0.00%  iou-wrk-3346     [kernel.vmlinux]  [k] io_wqe_worker
     1.90%     0.00%  iou-wrk-3346     [kernel.vmlinux]  [k] ret_from_fork
     1.90%     0.00%  iou-wrk-3353     [kernel.vmlinux]  [k] io_wqe_worker
     1.90%     0.00%  iou-wrk-3353     [kernel.vmlinux]  [k] ret_from_fork
     1.90%     0.01%  iou-wrk-3374     [kernel.vmlinux]  [k] io_wqe_worker
     1.90%     0.00%  iou-wrk-3374     [kernel.vmlinux]  [k] ret_from_fork
     1.89%     0.01%  iou-wrk-3360     [kernel.vmlinux]  [k] io_wqe_worker
     1.89%     0.00%  iou-wrk-3360     [kernel.vmlinux]  [k] ret_from_fork
     1.89%     0.01%  iou-wrk-3380     [kernel.vmlinux]  [k] io_wqe_worker
     1.89%     0.00%  iou-wrk-3380     [kernel.vmlinux]  [k] ret_from_fork
     1.87%     0.02%  iou-wrk-3385     [kernel.vmlinux]  [k] io_wqe_worker
     1.87%     0.00%  iou-wrk-3385     [kernel.vmlinux]  [k] ret_from_fork
     1.85%     0.01%  iou-wrk-3375     [kernel.vmlinux]  [k] io_wqe_worker
     1.85%     0.00%  iou-wrk-3375     [kernel.vmlinux]  [k] ret_from_fork
     1.85%     0.01%  iou-wrk-3355     [kernel.vmlinux]  [k] io_wqe_worker
     1.85%     0.00%  iou-wrk-3355     [kernel.vmlinux]  [k] ret_from_fork
     1.84%     0.01%  iou-wrk-3363     [kernel.vmlinux]  [k] io_wqe_worker
     1.84%     0.00%  iou-wrk-3363     [kernel.vmlinux]  [k] ret_from_fork
     1.83%     0.01%  iou-wrk-3358     [kernel.vmlinux]  [k] io_wqe_worker
     1.83%     0.00%  iou-wrk-3358     [kernel.vmlinux]  [k] ret_from_fork
     1.81%     0.01%  iou-wrk-3367     [kernel.vmlinux]  [k] io_wqe_worker
     1.81%     0.00%  iou-wrk-3367     [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.00%  iou-wrk-3349     [kernel.vmlinux]  [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3349     [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.01%  iou-wrk-3362     [kernel.vmlinux]  [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3362     [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.00%  iou-wrk-3376     [kernel.vmlinux]  [k] io_wqe_worker
     1.80%     0.00%  iou-wrk-3376     [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.01%  iou-wrk-3354     [kernel.vmlinux]  [k] io_wqe_worker
