# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8986606922361
#
# Children      Self  Command          Shared Object     Symbol                                   
# ........  ........  ...............  ................  .........................................
#
    19.87%     0.02%  fio              [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
    19.85%     0.01%  fio              [kernel.vmlinux]  [k] do_syscall_64
    19.66%     0.03%  fio              [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    19.61%     0.58%  fio              [kernel.vmlinux]  [k] io_submit_sqes
    18.20%     0.35%  fio              [kernel.vmlinux]  [k] __io_queue_sqe
    12.20%     0.07%  fio              [kernel.vmlinux]  [k] io_queue_async_work
    11.86%     0.17%  fio              [kernel.vmlinux]  [k] io_wqe_enqueue
    11.48%     0.15%  fio              [kernel.vmlinux]  [k] io_wqe_activate_free_worker
    11.17%     0.29%  fio              [kernel.vmlinux]  [k] try_to_wake_up
     5.68%     0.14%  fio              [kernel.vmlinux]  [k] ttwu_do_activate
     5.66%     0.21%  fio              [kernel.vmlinux]  [k] io_issue_sqe
     5.45%     0.32%  fio              [kernel.vmlinux]  [k] io_read
     4.50%     0.23%  fio              [kernel.vmlinux]  [k] io_setup_async_rw
     4.15%     0.32%  fio              [kernel.vmlinux]  [k] __kmalloc
     3.68%     0.12%  fio              [kernel.vmlinux]  [k] __cond_resched
     3.58%     0.71%  fio              [kernel.vmlinux]  [k] __schedule
     3.55%     0.07%  fio              [kernel.vmlinux]  [k] preempt_schedule_common
     3.44%     0.42%  fio              [kernel.vmlinux]  [k] enqueue_task_fair
     3.07%     1.29%  fio              [kernel.vmlinux]  [k] select_task_rq_fair
     2.96%     0.04%  swapper          [kernel.vmlinux]  [k] do_idle
     2.96%     0.00%  swapper          [kernel.vmlinux]  [k] cpu_startup_entry
     2.96%     0.00%  swapper          [kernel.vmlinux]  [k] secondary_startup_64_no_verify
     2.89%     0.00%  swapper          [kernel.vmlinux]  [k] start_secondary
     2.12%     0.02%  iou-wrk-68044    [kernel.vmlinux]  [k] io_wqe_worker
     2.12%     0.00%  iou-wrk-68044    [kernel.vmlinux]  [k] ret_from_fork
     2.11%     0.13%  fio              [kernel.vmlinux]  [k] psi_task_change
     2.07%     0.01%  swapper          [kernel.vmlinux]  [k] cpuidle_enter_state
     2.07%     0.00%  swapper          [kernel.vmlinux]  [k] cpuidle_enter
     2.00%     0.01%  iou-wrk-68061    [kernel.vmlinux]  [k] io_wqe_worker
     2.00%     0.00%  iou-wrk-68061    [kernel.vmlinux]  [k] ret_from_fork
     1.99%     0.01%  iou-wrk-68042    [kernel.vmlinux]  [k] io_wqe_worker
     1.99%     0.00%  iou-wrk-68042    [kernel.vmlinux]  [k] ret_from_fork
     1.99%     0.01%  iou-wrk-68037    [kernel.vmlinux]  [k] io_wqe_worker
     1.99%     0.00%  iou-wrk-68037    [kernel.vmlinux]  [k] ret_from_fork
     1.95%     0.01%  iou-wrk-68066    [kernel.vmlinux]  [k] io_wqe_worker
     1.95%     0.00%  iou-wrk-68066    [kernel.vmlinux]  [k] ret_from_fork
     1.92%     0.00%  iou-wrk-68036    [kernel.vmlinux]  [k] io_wqe_worker
     1.92%     0.00%  iou-wrk-68036    [kernel.vmlinux]  [k] ret_from_fork
     1.92%     0.01%  iou-wrk-68034    [kernel.vmlinux]  [k] io_wqe_worker
     1.92%     0.00%  iou-wrk-68034    [kernel.vmlinux]  [k] ret_from_fork
     1.91%     0.02%  iou-wrk-68058    [kernel.vmlinux]  [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-68058    [kernel.vmlinux]  [k] ret_from_fork
     1.91%     0.01%  iou-wrk-68047    [kernel.vmlinux]  [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-68047    [kernel.vmlinux]  [k] ret_from_fork
     1.91%     0.01%  iou-wrk-68055    [kernel.vmlinux]  [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-68055    [kernel.vmlinux]  [k] ret_from_fork
     1.90%     0.02%  iou-wrk-68035    [kernel.vmlinux]  [k] io_wqe_worker
     1.90%     0.00%  iou-wrk-68035    [kernel.vmlinux]  [k] ret_from_fork
     1.90%     0.01%  iou-wrk-68049    [kernel.vmlinux]  [k] io_wqe_worker
     1.90%     0.00%  iou-wrk-68049    [kernel.vmlinux]  [k] ret_from_fork
     1.89%     0.01%  iou-wrk-68068    [kernel.vmlinux]  [k] io_wqe_worker
     1.89%     0.00%  iou-wrk-68068    [kernel.vmlinux]  [k] ret_from_fork
