# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 853K of event 'cycles'
# Event count (approx.): 81032972670636
#
# Children      Self  Command          Shared Object       Symbol                                    
# ........  ........  ...............  ..................  ..........................................
#
    20.33%     0.01%  fio              [kernel.vmlinux]    [k] entry_SYSCALL_64_after_hwframe
    20.32%     0.01%  fio              [kernel.vmlinux]    [k] do_syscall_64
    20.09%     0.02%  fio              [kernel.vmlinux]    [k] __do_sys_io_uring_enter
    20.04%     0.62%  fio              [kernel.vmlinux]    [k] io_submit_sqes
    18.54%     0.39%  fio              [kernel.vmlinux]    [k] __io_queue_sqe
    12.71%     0.08%  fio              [kernel.vmlinux]    [k] io_queue_async_work
    12.30%     0.18%  fio              [kernel.vmlinux]    [k] io_wqe_enqueue
    11.92%     0.21%  fio              [kernel.vmlinux]    [k] io_wqe_activate_free_worker
    11.54%     0.31%  fio              [kernel.vmlinux]    [k] try_to_wake_up
     5.69%     0.14%  fio              [kernel.vmlinux]    [k] ttwu_do_activate
     5.44%     0.26%  fio              [kernel.vmlinux]    [k] io_issue_sqe
     5.19%     0.30%  fio              [kernel.vmlinux]    [k] io_read
     4.41%     0.21%  fio              [kernel.vmlinux]    [k] io_setup_async_rw
     4.08%     0.42%  fio              [kernel.vmlinux]    [k] __kmalloc
     3.49%     0.11%  fio              [kernel.vmlinux]    [k] __cond_resched
     3.39%     0.63%  fio              [kernel.vmlinux]    [k] __schedule
     3.38%     0.09%  fio              [kernel.vmlinux]    [k] preempt_schedule_common
     3.20%     0.47%  fio              [kernel.vmlinux]    [k] enqueue_task_fair
     3.17%     1.36%  fio              [kernel.vmlinux]    [k] select_task_rq_fair
     2.37%     0.17%  fio              [kernel.vmlinux]    [k] psi_task_change
     1.94%     0.01%  iou-wrk-3234     [kernel.vmlinux]    [k] io_wqe_worker
     1.94%     0.00%  iou-wrk-3234     [kernel.vmlinux]    [k] ret_from_fork
     1.93%     0.01%  iou-wrk-3230     [kernel.vmlinux]    [k] io_wqe_worker
     1.93%     0.00%  iou-wrk-3230     [kernel.vmlinux]    [k] ret_from_fork
     1.93%     0.01%  iou-wrk-3204     [kernel.vmlinux]    [k] io_wqe_worker
     1.93%     0.00%  iou-wrk-3204     [kernel.vmlinux]    [k] ret_from_fork
     1.93%     0.01%  iou-wrk-3194     [kernel.vmlinux]    [k] io_wqe_worker
     1.93%     0.00%  iou-wrk-3194     [kernel.vmlinux]    [k] ret_from_fork
     1.92%     0.01%  iou-wrk-3232     [kernel.vmlinux]    [k] io_wqe_worker
     1.92%     0.00%  iou-wrk-3232     [kernel.vmlinux]    [k] ret_from_fork
     1.91%     0.01%  iou-wrk-3216     [kernel.vmlinux]    [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-3216     [kernel.vmlinux]    [k] ret_from_fork
     1.91%     0.01%  iou-wrk-3209     [kernel.vmlinux]    [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-3209     [kernel.vmlinux]    [k] ret_from_fork
     1.91%     0.01%  iou-wrk-3222     [kernel.vmlinux]    [k] io_wqe_worker
     1.91%     0.00%  iou-wrk-3222     [kernel.vmlinux]    [k] ret_from_fork
     1.90%     0.01%  iou-wrk-3198     [kernel.vmlinux]    [k] io_wqe_worker
     1.90%     0.00%  iou-wrk-3198     [kernel.vmlinux]    [k] ret_from_fork
     1.90%     0.01%  iou-wrk-3226     [kernel.vmlinux]    [k] io_wqe_worker
     1.90%     0.00%  iou-wrk-3226     [kernel.vmlinux]    [k] ret_from_fork
     1.90%     0.01%  iou-wrk-3213     [kernel.vmlinux]    [k] io_wqe_worker
     1.90%     0.00%  iou-wrk-3213     [kernel.vmlinux]    [k] ret_from_fork
     1.90%     0.01%  iou-wrk-3197     [kernel.vmlinux]    [k] io_wqe_worker
     1.90%     0.00%  iou-wrk-3197     [kernel.vmlinux]    [k] ret_from_fork
     1.89%     0.01%  iou-wrk-3208     [kernel.vmlinux]    [k] io_wqe_worker
     1.89%     0.00%  iou-wrk-3208     [kernel.vmlinux]    [k] ret_from_fork
     1.89%     0.01%  iou-wrk-3229     [kernel.vmlinux]    [k] io_wqe_worker
     1.89%     0.00%  iou-wrk-3229     [kernel.vmlinux]    [k] ret_from_fork
     1.89%     0.01%  iou-wrk-3214     [kernel.vmlinux]    [k] io_wqe_worker
     1.89%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] ret_from_fork
     1.89%     0.01%  iou-wrk-3200     [kernel.vmlinux]    [k] io_wqe_worker
     1.89%     0.00%  iou-wrk-3200     [kernel.vmlinux]    [k] ret_from_fork
     1.89%     0.01%  iou-wrk-3206     [kernel.vmlinux]    [k] io_wqe_worker
     1.89%     0.00%  iou-wrk-3206     [kernel.vmlinux]    [k] ret_from_fork
     1.88%     0.01%  iou-wrk-3217     [kernel.vmlinux]    [k] io_wqe_worker
     1.88%     0.00%  iou-wrk-3217     [kernel.vmlinux]    [k] ret_from_fork
     1.88%     0.01%  iou-wrk-3220     [kernel.vmlinux]    [k] io_wqe_worker
     1.88%     0.00%  iou-wrk-3220     [kernel.vmlinux]    [k] ret_from_fork
     1.88%     0.01%  iou-wrk-3210     [kernel.vmlinux]    [k] io_wqe_worker
     1.88%     0.00%  iou-wrk-3210     [kernel.vmlinux]    [k] ret_from_fork
     1.88%     0.01%  iou-wrk-3218     [kernel.vmlinux]    [k] io_wqe_worker
     1.88%     0.00%  iou-wrk-3218     [kernel.vmlinux]    [k] ret_from_fork
     1.88%     0.01%  iou-wrk-3231     [kernel.vmlinux]    [k] io_wqe_worker
     1.88%     0.00%  iou-wrk-3231     [kernel.vmlinux]    [k] ret_from_fork
     1.88%     0.01%  iou-wrk-3224     [kernel.vmlinux]    [k] io_wqe_worker
     1.88%     0.00%  iou-wrk-3224     [kernel.vmlinux]    [k] ret_from_fork
