# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 8853140402121
#
# Children      Self  Command          Shared Object       Symbol                                 
# ........  ........  ...............  ..................  .......................................
#
    20.55%     0.00%  fio              [kernel.vmlinux]    [k] do_syscall_64
    20.55%     0.00%  fio              [kernel.vmlinux]    [k] entry_SYSCALL_64_after_hwframe
    20.29%     0.02%  fio              [kernel.vmlinux]    [k] __do_sys_io_uring_enter
    20.23%     0.65%  fio              [kernel.vmlinux]    [k] io_submit_sqes
    18.62%     0.40%  fio              [kernel.vmlinux]    [k] __io_queue_sqe
    12.89%     0.09%  fio              [kernel.vmlinux]    [k] io_queue_async_work
    12.50%     0.14%  fio              [kernel.vmlinux]    [k] io_wqe_enqueue
    12.20%     0.22%  fio              [kernel.vmlinux]    [k] io_wqe_activate_free_worker
    11.79%     0.32%  fio              [kernel.vmlinux]    [k] try_to_wake_up
     5.85%     0.15%  fio              [kernel.vmlinux]    [k] ttwu_do_activate
     5.33%     0.26%  fio              [kernel.vmlinux]    [k] io_issue_sqe
     5.08%     0.30%  fio              [kernel.vmlinux]    [k] io_read
     4.28%     0.20%  fio              [kernel.vmlinux]    [k] io_setup_async_rw
     3.99%     0.37%  fio              [kernel.vmlinux]    [k] __kmalloc
     3.48%     0.11%  fio              [kernel.vmlinux]    [k] __cond_resched
     3.38%     0.67%  fio              [kernel.vmlinux]    [k] __schedule
     3.37%     0.09%  fio              [kernel.vmlinux]    [k] preempt_schedule_common
     3.34%     1.43%  fio              [kernel.vmlinux]    [k] select_task_rq_fair
     3.29%     0.41%  fio              [kernel.vmlinux]    [k] enqueue_task_fair
     2.44%     0.03%  swapper          [kernel.vmlinux]    [k] do_idle
     2.44%     0.00%  swapper          [kernel.vmlinux]    [k] cpu_startup_entry
     2.44%     0.00%  swapper          [kernel.vmlinux]    [k] secondary_startup_64_no_verify
     2.42%     0.24%  fio              [kernel.vmlinux]    [k] psi_task_change
