# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 9102693993722
#
# Children      Self  Command          Shared Object     Symbol                                  
# ........  ........  ...............  ................  ........................................
#
    19.40%     0.01%  fio              [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
    19.39%     0.00%  fio              [kernel.vmlinux]  [k] do_syscall_64
    19.17%     0.03%  fio              [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    19.12%     0.71%  fio              [kernel.vmlinux]  [k] io_submit_sqes
    17.57%     0.35%  fio              [kernel.vmlinux]  [k] __io_queue_sqe
    11.80%     0.05%  fio              [kernel.vmlinux]  [k] io_queue_async_work
    11.46%     0.19%  fio              [kernel.vmlinux]  [k] io_wqe_enqueue
    11.09%     0.18%  fio              [kernel.vmlinux]  [k] io_wqe_activate_free_worker
    10.74%     0.33%  fio              [kernel.vmlinux]  [k] try_to_wake_up
     5.42%     0.26%  fio              [kernel.vmlinux]  [k] io_issue_sqe
     5.20%     0.13%  fio              [kernel.vmlinux]  [k] ttwu_do_activate
     5.16%     0.25%  fio              [kernel.vmlinux]  [k] io_read
     4.46%     0.19%  fio              [kernel.vmlinux]  [k] io_setup_async_rw
     4.18%     0.42%  fio              [kernel.vmlinux]  [k] __kmalloc
     3.61%     0.13%  fio              [kernel.vmlinux]  [k] __cond_resched
     3.48%     0.77%  fio              [kernel.vmlinux]  [k] __schedule
     3.47%     0.08%  fio              [kernel.vmlinux]  [k] preempt_schedule_common
     2.94%     1.30%  fio              [kernel.vmlinux]  [k] select_task_rq_fair
     2.92%     0.41%  fio              [kernel.vmlinux]  [k] enqueue_task_fair
     2.17%     0.16%  fio              [kernel.vmlinux]  [k] psi_task_change
     2.14%     0.03%  swapper          [kernel.vmlinux]  [k] do_idle
     2.14%     0.00%  swapper          [kernel.vmlinux]  [k] cpu_startup_entry
     2.14%     0.00%  swapper          [kernel.vmlinux]  [k] secondary_startup_64_no_verify
     2.13%     0.01%  iou-wrk-3137     [kernel.vmlinux]  [k] io_wqe_worker
     2.13%     0.00%  iou-wrk-3137     [kernel.vmlinux]  [k] ret_from_fork
     2.12%     0.00%  iou-wrk-3158     [kernel.vmlinux]  [k] io_wqe_worker
     2.12%     0.00%  iou-wrk-3158     [kernel.vmlinux]  [k] ret_from_fork
     2.11%     0.00%  swapper          [kernel.vmlinux]  [k] start_secondary
