# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 906K of event 'cycles'
# Event count (approx.): 83830674564148
#
# Children      Self  Command          Shared Object       Symbol                                          
# ........  ........  ...............  ..................  ................................................
#
    15.25%     0.01%  fio              [kernel.vmlinux]    [k] entry_SYSCALL_64_after_hwframe
    15.23%     0.01%  fio              [kernel.vmlinux]    [k] do_syscall_64
    15.06%     0.04%  fio              [kernel.vmlinux]    [k] __do_sys_io_uring_enter
    14.74%     0.63%  fio              [kernel.vmlinux]    [k] io_submit_sqes
    12.93%     0.36%  fio              [kernel.vmlinux]    [k] __io_queue_sqe
     7.99%     0.08%  fio              [kernel.vmlinux]    [k] io_queue_async_work
     7.53%     0.19%  fio              [kernel.vmlinux]    [k] io_wqe_enqueue
     7.12%     0.11%  fio              [kernel.vmlinux]    [k] io_wqe_activate_free_worker
     6.91%     0.14%  fio              [kernel.vmlinux]    [k] try_to_wake_up
     4.59%     0.23%  fio              [kernel.vmlinux]    [k] io_issue_sqe
     4.37%     0.29%  fio              [kernel.vmlinux]    [k] io_read
     3.64%     0.22%  fio              [kernel.vmlinux]    [k] io_setup_async_rw
     3.59%     0.10%  fio              [kernel.vmlinux]    [k] ttwu_do_activate
     3.29%     0.41%  fio              [kernel.vmlinux]    [k] __kmalloc
     2.71%     0.51%  fio              [kernel.vmlinux]    [k] __schedule
     2.61%     0.10%  fio              [kernel.vmlinux]    [k] __cond_resched
     2.51%     0.08%  fio              [kernel.vmlinux]    [k] preempt_schedule_common
     2.11%     0.99%  fio              [kernel.vmlinux]    [k] select_task_rq_fair
     1.95%     0.33%  fio              [kernel.vmlinux]    [k] enqueue_task_fair
     1.55%     0.12%  fio              [kernel.vmlinux]    [k] psi_task_change
     1.22%     0.18%  fio              [kernel.vmlinux]    [k] pick_next_task_fair
     1.19%     1.18%  fio              [kernel.vmlinux]    [k] psi_group_change
     1.14%     0.01%  iou-wrk-3208     [kernel.vmlinux]    [k] io_worker_handle_work
     1.14%     0.00%  iou-wrk-3208     [kernel.vmlinux]    [k] io_wqe_worker
     1.14%     0.00%  iou-wrk-3208     [kernel.vmlinux]    [k] ret_from_fork
     1.14%     0.00%  iou-wrk-3193     [kernel.vmlinux]    [k] io_wqe_worker
     1.14%     0.00%  iou-wrk-3193     [kernel.vmlinux]    [k] ret_from_fork
     1.14%     0.01%  iou-wrk-3193     [kernel.vmlinux]    [k] io_worker_handle_work
     1.13%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] io_wqe_worker
     1.13%     0.00%  iou-wrk-3166     [kernel.vmlinux]    [k] ret_from_fork
     1.13%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] io_wqe_worker
     1.13%     0.00%  iou-wrk-3172     [kernel.vmlinux]    [k] ret_from_fork
     1.12%     0.01%  iou-wrk-3166     [kernel.vmlinux]    [k] io_worker_handle_work
     1.12%     0.01%  iou-wrk-3172     [kernel.vmlinux]    [k] io_worker_handle_work
     1.12%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] io_wqe_worker
     1.12%     0.00%  iou-wrk-3183     [kernel.vmlinux]    [k] ret_from_fork
     1.11%     0.00%  iou-wrk-3180     [kernel.vmlinux]    [k] io_wqe_worker
     1.11%     0.00%  iou-wrk-3180     [kernel.vmlinux]    [k] ret_from_fork
     1.11%     0.00%  iou-wrk-3181     [kernel.vmlinux]    [k] io_wqe_worker
     1.11%     0.00%  iou-wrk-3181     [kernel.vmlinux]    [k] ret_from_fork
     1.09%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] io_wqe_worker
     1.09%     0.00%  iou-wrk-3214     [kernel.vmlinux]    [k] ret_from_fork
     1.08%     0.01%  iou-wrk-3183     [kernel.vmlinux]    [k] io_worker_handle_work
     1.08%     0.01%  iou-wrk-3181     [kernel.vmlinux]    [k] io_worker_handle_work
