# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 7834943067802
#
# Children      Self  Command          Shared Object     Symbol                                 
# ........  ........  ...............  ................  .......................................
#
    28.25%     0.01%  fio              [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
    28.24%     0.02%  fio              [kernel.vmlinux]  [k] do_syscall_64
    27.98%     0.03%  fio              [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    27.91%     0.77%  fio              [kernel.vmlinux]  [k] io_submit_sqes
    25.90%     0.49%  fio              [kernel.vmlinux]  [k] __io_queue_sqe
    17.90%     0.09%  fio              [kernel.vmlinux]  [k] io_queue_async_work
    17.40%     0.29%  fio              [kernel.vmlinux]  [k] io_wqe_enqueue
    16.72%     0.29%  fio              [kernel.vmlinux]  [k] io_wqe_activate_free_worker
    16.09%     0.44%  fio              [kernel.vmlinux]  [k] try_to_wake_up
     8.16%     0.27%  fio              [kernel.vmlinux]  [k] ttwu_do_activate
     7.52%     0.34%  fio              [kernel.vmlinux]  [k] io_issue_sqe
     7.18%     0.37%  fio              [kernel.vmlinux]  [k] io_read
     6.16%     0.28%  fio              [kernel.vmlinux]  [k] io_setup_async_rw
     5.64%     0.60%  fio              [kernel.vmlinux]  [k] __kmalloc
     4.82%     0.15%  fio              [kernel.vmlinux]  [k] __cond_resched
     4.68%     0.77%  fio              [kernel.vmlinux]  [k] __schedule
     4.67%     0.11%  fio              [kernel.vmlinux]  [k] preempt_schedule_common
     4.57%     0.58%  fio              [kernel.vmlinux]  [k] enqueue_task_fair
     4.41%     1.97%  fio              [kernel.vmlinux]  [k] select_task_rq_fair
     3.33%     0.22%  fio              [kernel.vmlinux]  [k] psi_task_change
     2.65%     2.64%  fio              [kernel.vmlinux]  [k] psi_group_change
     2.54%     0.02%  swapper          [kernel.vmlinux]  [k] do_idle
     2.54%     0.00%  swapper          [kernel.vmlinux]  [k] cpu_startup_entry
     2.54%     0.00%  swapper          [kernel.vmlinux]  [k] secondary_startup_64_no_verify
     2.50%     0.00%  swapper          [kernel.vmlinux]  [k] start_secondary
     2.44%     0.61%  fio              [kernel.vmlinux]  [k] enqueue_entity
     2.29%     0.26%  fio              [kernel.vmlinux]  [k] pick_next_task_fair
     2.12%     0.90%  fio              [kernel.vmlinux]  [k] update_load_avg
     1.87%     0.02%  iou-wrk-3099     [kernel.vmlinux]  [k] io_wqe_worker
     1.87%     0.00%  iou-wrk-3099     [kernel.vmlinux]  [k] ret_from_fork
     1.82%     0.02%  iou-wrk-3079     [kernel.vmlinux]  [k] io_wqe_worker
     1.82%     0.00%  iou-wrk-3079     [kernel.vmlinux]  [k] ret_from_fork
     1.79%     0.02%  iou-wrk-3072     [kernel.vmlinux]  [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-3072     [kernel.vmlinux]  [k] ret_from_fork
     1.79%     0.02%  iou-wrk-3086     [kernel.vmlinux]  [k] io_wqe_worker
     1.79%     0.00%  iou-wrk-3086     [kernel.vmlinux]  [k] ret_from_fork
     1.74%     0.02%  iou-wrk-3076     [kernel.vmlinux]  [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3076     [kernel.vmlinux]  [k] ret_from_fork
     1.74%     0.02%  iou-wrk-3096     [kernel.vmlinux]  [k] io_wqe_worker
     1.74%     0.00%  iou-wrk-3096     [kernel.vmlinux]  [k] ret_from_fork
     1.73%     0.02%  iou-wrk-3065     [kernel.vmlinux]  [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3065     [kernel.vmlinux]  [k] ret_from_fork
     1.72%     0.03%  iou-wrk-3082     [kernel.vmlinux]  [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3082     [kernel.vmlinux]  [k] ret_from_fork
     1.70%     0.00%  iou-wrk-3075     [kernel.vmlinux]  [k] io_wqe_worker
     1.70%     0.00%  iou-wrk-3075     [kernel.vmlinux]  [k] ret_from_fork
     1.69%     0.02%  iou-wrk-3083     [kernel.vmlinux]  [k] io_wqe_worker
