# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 7894515641663
#
# Children      Self  Command          Shared Object     Symbol                                  
# ........  ........  ...............  ................  ........................................
#
    27.87%     0.01%  fio              [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
    27.86%     0.01%  fio              [kernel.vmlinux]  [k] do_syscall_64
    27.54%     0.04%  fio              [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    27.46%     0.74%  fio              [kernel.vmlinux]  [k] io_submit_sqes
    25.62%     0.50%  fio              [kernel.vmlinux]  [k] __io_queue_sqe
    17.71%     0.10%  fio              [kernel.vmlinux]  [k] io_queue_async_work
    17.13%     0.27%  fio              [kernel.vmlinux]  [k] io_wqe_enqueue
    16.56%     0.33%  fio              [kernel.vmlinux]  [k] io_wqe_activate_free_worker
    15.98%     0.63%  fio              [kernel.vmlinux]  [k] try_to_wake_up
     7.57%     0.17%  fio              [kernel.vmlinux]  [k] ttwu_do_activate
     7.42%     0.29%  fio              [kernel.vmlinux]  [k] io_issue_sqe
     7.14%     0.43%  fio              [kernel.vmlinux]  [k] io_read
     5.86%     0.30%  fio              [kernel.vmlinux]  [k] io_setup_async_rw
     5.39%     0.49%  fio              [kernel.vmlinux]  [k] __kmalloc
     4.70%     0.14%  fio              [kernel.vmlinux]  [k] __cond_resched
     4.55%     0.79%  fio              [kernel.vmlinux]  [k] __schedule
     4.55%     0.13%  fio              [kernel.vmlinux]  [k] preempt_schedule_common
     4.34%     2.07%  fio              [kernel.vmlinux]  [k] select_task_rq_fair
     4.22%     0.64%  fio              [kernel.vmlinux]  [k] enqueue_task_fair
     3.19%     0.16%  fio              [kernel.vmlinux]  [k] psi_task_change
     2.94%     0.02%  swapper          [kernel.vmlinux]  [k] do_idle
     2.94%     0.00%  swapper          [kernel.vmlinux]  [k] cpu_startup_entry
     2.94%     0.00%  swapper          [kernel.vmlinux]  [k] secondary_startup_64_no_verify
     2.87%     0.00%  swapper          [kernel.vmlinux]  [k] start_secondary
     2.53%     2.52%  fio              [kernel.vmlinux]  [k] psi_group_change
     2.19%     0.30%  fio              [kernel.vmlinux]  [k] pick_next_task_fair
     2.10%     0.59%  fio              [kernel.vmlinux]  [k] enqueue_entity
     2.06%     0.78%  fio              [kernel.vmlinux]  [k] update_load_avg
     1.93%     0.00%  iou-wrk-3248     [kernel.vmlinux]  [k] io_wqe_worker
     1.93%     0.00%  iou-wrk-3248     [kernel.vmlinux]  [k] ret_from_fork
     1.90%     0.02%  iou-wrk-3231     [kernel.vmlinux]  [k] io_wqe_worker
     1.90%     0.00%  iou-wrk-3231     [kernel.vmlinux]  [k] ret_from_fork
     1.86%     0.02%  iou-wrk-3252     [kernel.vmlinux]  [k] io_wqe_worker
     1.86%     0.00%  iou-wrk-3252     [kernel.vmlinux]  [k] ret_from_fork
     1.77%     0.01%  iou-wrk-3259     [kernel.vmlinux]  [k] io_wqe_worker
     1.77%     0.00%  iou-wrk-3259     [kernel.vmlinux]  [k] ret_from_fork
     1.75%     0.00%  swapper          [kernel.vmlinux]  [k] cpuidle_enter
     1.75%     0.01%  swapper          [kernel.vmlinux]  [k] cpuidle_enter_state
     1.74%     0.73%  fio              [kernel.vmlinux]  [k] _raw_spin_lock
     1.73%     0.02%  iou-wrk-3230     [kernel.vmlinux]  [k] io_wqe_worker
     1.73%     0.00%  iou-wrk-3230     [kernel.vmlinux]  [k] ret_from_fork
     1.72%     0.01%  iou-wrk-3266     [kernel.vmlinux]  [k] io_wqe_worker
     1.72%     0.00%  iou-wrk-3266     [kernel.vmlinux]  [k] ret_from_fork
     1.71%     0.01%  iou-wrk-3251     [kernel.vmlinux]  [k] io_wqe_worker
     1.71%     0.00%  iou-wrk-3251     [kernel.vmlinux]  [k] ret_from_fork
     1.70%     0.01%  iou-wrk-3247     [kernel.vmlinux]  [k] io_wqe_worker
     1.70%     0.00%  iou-wrk-3247     [kernel.vmlinux]  [k] ret_from_fork
     1.69%     0.02%  iou-wrk-3244     [kernel.vmlinux]  [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3244     [kernel.vmlinux]  [k] ret_from_fork
     1.69%     0.01%  iou-wrk-3263     [kernel.vmlinux]  [k] io_wqe_worker
     1.69%     0.00%  iou-wrk-3263     [kernel.vmlinux]  [k] ret_from_fork
     1.68%     0.01%  iou-wrk-3260     [kernel.vmlinux]  [k] io_wqe_worker
     1.68%     0.00%  iou-wrk-3260     [kernel.vmlinux]  [k] ret_from_fork
     1.67%     0.01%  iou-wrk-3236     [kernel.vmlinux]  [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-3236     [kernel.vmlinux]  [k] ret_from_fork
     1.67%     0.01%  iou-wrk-3265     [kernel.vmlinux]  [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-3265     [kernel.vmlinux]  [k] ret_from_fork
     1.67%     0.01%  iou-wrk-3233     [kernel.vmlinux]  [k] io_wqe_worker
     1.67%     0.00%  iou-wrk-3233     [kernel.vmlinux]  [k] ret_from_fork
     1.66%     0.01%  iou-wrk-3242     [kernel.vmlinux]  [k] io_wqe_worker
     1.66%     0.00%  iou-wrk-3242     [kernel.vmlinux]  [k] ret_from_fork
     1.66%     0.01%  iou-wrk-3258     [kernel.vmlinux]  [k] io_wqe_worker
     1.66%     0.00%  iou-wrk-3258     [kernel.vmlinux]  [k] ret_from_fork
     1.65%     0.01%  iou-wrk-3255     [kernel.vmlinux]  [k] io_wqe_worker
     1.65%     0.00%  iou-wrk-3255     [kernel.vmlinux]  [k] ret_from_fork
     1.65%     0.07%  iou-wrk-3261     [kernel.vmlinux]  [k] io_wqe_worker
     1.65%     0.00%  iou-wrk-3261     [kernel.vmlinux]  [k] ret_from_fork
     1.65%     0.01%  iou-wrk-3257     [kernel.vmlinux]  [k] io_wqe_worker
     1.65%     0.00%  iou-wrk-3257     [kernel.vmlinux]  [k] ret_from_fork
     1.64%     0.02%  iou-wrk-3250     [kernel.vmlinux]  [k] io_wqe_worker
     1.64%     0.00%  iou-wrk-3250     [kernel.vmlinux]  [k] ret_from_fork
     1.63%     0.02%  iou-wrk-3264     [kernel.vmlinux]  [k] io_wqe_worker
