# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 2398592790048
#
# Children      Self  Command          Shared Object     Symbol                                         
# ........  ........  ...............  ................  ...............................................
#
    27.42%     0.01%  fio              [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
    27.41%     0.00%  fio              [kernel.vmlinux]  [k] do_syscall_64
    27.18%     0.04%  fio              [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    27.10%     0.95%  fio              [kernel.vmlinux]  [k] io_submit_sqes
    24.56%     0.49%  fio              [kernel.vmlinux]  [k] __io_queue_sqe
    16.96%     0.10%  fio              [kernel.vmlinux]  [k] io_queue_async_work
    16.46%     0.42%  fio              [kernel.vmlinux]  [k] io_wqe_enqueue
    15.71%     0.26%  fio              [kernel.vmlinux]  [k] io_wqe_activate_free_worker
    15.29%     0.39%  fio              [kernel.vmlinux]  [k] try_to_wake_up
     8.14%     0.13%  fio              [kernel.vmlinux]  [k] ttwu_do_activate
     7.25%     0.02%  swapper          [kernel.vmlinux]  [k] do_idle
     7.25%     0.00%  swapper          [kernel.vmlinux]  [k] cpu_startup_entry
     7.25%     0.00%  swapper          [kernel.vmlinux]  [k] secondary_startup_64_no_verify
     7.22%     0.00%  swapper          [kernel.vmlinux]  [k] start_secondary
     7.11%     0.25%  fio              [kernel.vmlinux]  [k] io_issue_sqe
     6.85%     0.23%  fio              [kernel.vmlinux]  [k] io_read
     6.15%     0.33%  fio              [kernel.vmlinux]  [k] io_setup_async_rw
     5.84%     0.05%  swapper          [kernel.vmlinux]  [k] cpuidle_enter_state
     5.84%     0.00%  swapper          [kernel.vmlinux]  [k] cpuidle_enter
     5.70%     0.65%  fio              [kernel.vmlinux]  [k] __kmalloc
     5.38%     5.38%  swapper          [kernel.vmlinux]  [k] intel_idle
     4.84%     0.85%  fio              [kernel.vmlinux]  [k] enqueue_task_fair
     4.82%     0.13%  fio              [kernel.vmlinux]  [k] __cond_resched
     4.68%     0.78%  fio              [kernel.vmlinux]  [k] __schedule
     4.68%     0.13%  fio              [kernel.vmlinux]  [k] preempt_schedule_common
     3.70%     1.73%  fio              [kernel.vmlinux]  [k] select_task_rq_fair
     3.17%     0.18%  fio              [kernel.vmlinux]  [k] psi_task_change
     2.52%     2.51%  fio              [kernel.vmlinux]  [k] psi_group_change
     2.46%     1.13%  fio              [kernel.vmlinux]  [k] update_load_avg
     2.12%     0.02%  iou-wrk-3072     [kernel.vmlinux]  [k] io_wqe_worker
     2.12%     0.00%  iou-wrk-3072     [kernel.vmlinux]  [k] ret_from_fork
     2.10%     0.27%  fio              [kernel.vmlinux]  [k] pick_next_task_fair
     2.02%     0.49%  fio              [kernel.vmlinux]  [k] enqueue_entity
     1.94%     0.00%  iou-wrk-3065     [kernel.vmlinux]  [k] io_wqe_worker
     1.94%     0.00%  iou-wrk-3065     [kernel.vmlinux]  [k] ret_from_fork
     1.88%     0.01%  iou-wrk-3084     [kernel.vmlinux]  [k] io_wqe_worker
     1.88%     0.00%  iou-wrk-3084     [kernel.vmlinux]  [k] ret_from_fork
     1.86%     0.02%  iou-wrk-3073     [kernel.vmlinux]  [k] io_wqe_worker
     1.86%     0.00%  iou-wrk-3073     [kernel.vmlinux]  [k] ret_from_fork
     1.83%     0.00%  iou-wrk-3059     [kernel.vmlinux]  [k] io_wqe_worker
     1.83%     0.00%  iou-wrk-3059     [kernel.vmlinux]  [k] ret_from_fork
     1.80%     0.72%  fio              [kernel.vmlinux]  [k] _raw_spin_lock
     1.74%     0.01%  iou-wrk-3068     [kernel.vmlinux]  [k] io_wqe_worker
