# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 65408539148108
#
# Children      Self  Command          Shared Object         Symbol                                     
# ........  ........  ...............  ....................  ...........................................
#
    24.97%     0.02%  fio              [kernel.vmlinux]      [k] entry_SYSCALL_64_after_hwframe
    24.95%     0.01%  fio              [kernel.vmlinux]      [k] do_syscall_64
    24.68%     0.04%  fio              [kernel.vmlinux]      [k] __do_sys_io_uring_enter
    24.55%     0.89%  fio              [kernel.vmlinux]      [k] io_submit_sqes
    22.49%     0.57%  fio              [kernel.vmlinux]      [k] __io_queue_sqe
    14.24%     0.08%  fio              [kernel.vmlinux]      [k] io_queue_async_work
    13.76%     0.22%  fio              [kernel.vmlinux]      [k] io_wqe_enqueue
    13.33%     0.17%  fio              [kernel.vmlinux]      [k] io_wqe_activate_free_worker
    13.00%     0.25%  fio              [kernel.vmlinux]      [k] try_to_wake_up
     7.69%     0.36%  fio              [kernel.vmlinux]      [k] io_issue_sqe
     7.33%     0.39%  fio              [kernel.vmlinux]      [k] io_read
     6.71%     0.17%  fio              [kernel.vmlinux]      [k] ttwu_do_activate
     6.26%     0.30%  fio              [kernel.vmlinux]      [k] io_setup_async_rw
     5.79%     0.58%  fio              [kernel.vmlinux]      [k] __kmalloc
     4.98%     0.16%  fio              [kernel.vmlinux]      [k] __cond_resched
     4.85%     0.88%  fio              [kernel.vmlinux]      [k] __schedule
     4.81%     0.14%  fio              [kernel.vmlinux]      [k] preempt_schedule_common
     4.02%     1.80%  fio              [kernel.vmlinux]      [k] select_task_rq_fair
     3.62%     0.58%  fio              [kernel.vmlinux]      [k] enqueue_task_fair
     2.94%     0.22%  fio              [kernel.vmlinux]      [k] psi_task_change
     2.29%     0.33%  fio              [kernel.vmlinux]      [k] pick_next_task_fair
     2.17%     2.16%  fio              [kernel.vmlinux]      [k] psi_group_change
     1.79%     0.51%  fio              [kernel.vmlinux]      [k] enqueue_entity
     1.77%     0.69%  fio              [kernel.vmlinux]      [k] update_load_avg
     1.16%     1.15%  fio              [kernel.vmlinux]      [k] available_idle_cpu
     1.00%     0.00%  iou-wrk-3298     [kernel.vmlinux]      [k] io_wqe_worker
     1.00%     0.00%  iou-wrk-3298     [kernel.vmlinux]      [k] ret_from_fork
     0.97%     0.07%  fio              [kernel.vmlinux]      [k] ttwu_do_wakeup
     0.96%     0.02%  iou-wrk-3298     [kernel.vmlinux]      [k] io_worker_handle_work
     0.92%     0.00%  iou-wrk-3272     [kernel.vmlinux]      [k] io_wqe_worker
     0.92%     0.00%  iou-wrk-3272     [kernel.vmlinux]      [k] ret_from_fork
     0.92%     0.48%  fio              [kernel.vmlinux]      [k] update_curr
     0.91%     0.09%  fio              [kernel.vmlinux]      [k] check_preempt_curr
     0.91%     0.01%  iou-wrk-3282     [kernel.vmlinux]      [k] io_wqe_worker
     0.91%     0.00%  iou-wrk-3282     [kernel.vmlinux]      [k] ret_from_fork
     0.90%     0.01%  iou-wrk-3294     [kernel.vmlinux]      [k] io_wqe_worker
     0.90%     0.00%  iou-wrk-3294     [kernel.vmlinux]      [k] ret_from_fork
     0.90%     0.01%  iou-wrk-3323     [kernel.vmlinux]      [k] io_wqe_worker
     0.90%     0.00%  iou-wrk-3323     [kernel.vmlinux]      [k] ret_from_fork
     0.90%     0.01%  iou-wrk-3268     [kernel.vmlinux]      [k] io_wqe_worker
     0.90%     0.00%  iou-wrk-3268     [kernel.vmlinux]      [k] ret_from_fork
     0.90%     0.01%  iou-wrk-3267     [kernel.vmlinux]      [k] io_wqe_worker
     0.90%     0.00%  iou-wrk-3267     [kernel.vmlinux]      [k] ret_from_fork
     0.90%     0.01%  iou-wrk-3321     [kernel.vmlinux]      [k] io_wqe_worker
     0.90%     0.00%  iou-wrk-3321     [kernel.vmlinux]      [k] ret_from_fork
