# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 721K of event 'cycles'
# Event count (approx.): 64064804027726
#
# Children      Self  Command          Shared Object       Symbol                                 
# ........  ........  ...............  ..................  .......................................
#
    25.29%     0.01%  fio              [kernel.vmlinux]    [k] entry_SYSCALL_64_after_hwframe
    25.28%     0.01%  fio              [kernel.vmlinux]    [k] do_syscall_64
    25.00%     0.04%  fio              [kernel.vmlinux]    [k] __do_sys_io_uring_enter
    24.92%     0.84%  fio              [kernel.vmlinux]    [k] io_submit_sqes
    22.91%     0.57%  fio              [kernel.vmlinux]    [k] __io_queue_sqe
    14.59%     0.08%  fio              [kernel.vmlinux]    [k] io_queue_async_work
    14.14%     0.23%  fio              [kernel.vmlinux]    [k] io_wqe_enqueue
    13.73%     0.17%  fio              [kernel.vmlinux]    [k] io_wqe_activate_free_worker
    13.39%     0.25%  fio              [kernel.vmlinux]    [k] try_to_wake_up
     7.75%     0.34%  fio              [kernel.vmlinux]    [k] io_issue_sqe
     7.41%     0.41%  fio              [kernel.vmlinux]    [k] io_read
     6.92%     0.17%  fio              [kernel.vmlinux]    [k] ttwu_do_activate
     6.32%     0.30%  fio              [kernel.vmlinux]    [k] io_setup_async_rw
     5.84%     0.54%  fio              [kernel.vmlinux]    [k] __kmalloc
     5.09%     0.16%  fio              [kernel.vmlinux]    [k] __cond_resched
     4.93%     0.90%  fio              [kernel.vmlinux]    [k] __schedule
     4.92%     0.14%  fio              [kernel.vmlinux]    [k] preempt_schedule_common
     4.18%     1.88%  fio              [kernel.vmlinux]    [k] select_task_rq_fair
     3.76%     0.61%  fio              [kernel.vmlinux]    [k] enqueue_task_fair
     3.01%     0.24%  fio              [kernel.vmlinux]    [k] psi_task_change
     2.35%     0.35%  fio              [kernel.vmlinux]    [k] pick_next_task_fair
     2.26%     2.24%  fio              [kernel.vmlinux]    [k] psi_group_change
     1.85%     0.53%  fio              [kernel.vmlinux]    [k] enqueue_entity
     1.84%     0.72%  fio              [kernel.vmlinux]    [k] update_load_avg
     1.20%     1.18%  fio              [kernel.vmlinux]    [k] available_idle_cpu
     0.99%     0.07%  fio              [kernel.vmlinux]    [k] ttwu_do_wakeup
     0.92%     0.10%  fio              [kernel.vmlinux]    [k] check_preempt_curr
     0.92%     0.48%  fio              [kernel.vmlinux]    [k] update_curr
     0.90%     0.01%  iou-wrk-3415     [kernel.vmlinux]    [k] io_wqe_worker
     0.90%     0.00%  iou-wrk-3415     [kernel.vmlinux]    [k] ret_from_fork
     0.90%     0.01%  iou-wrk-3391     [kernel.vmlinux]    [k] io_wqe_worker
     0.90%     0.00%  iou-wrk-3391     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3459     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3459     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3388     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3388     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.00%  iou-wrk-3462     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3462     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3416     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3416     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3466     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3466     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3427     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3427     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3387     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3387     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3384     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3384     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3403     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3403     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3449     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3449     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3448     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3448     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.00%  iou-wrk-3392     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3392     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3411     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3411     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3442     [kernel.vmlinux]    [k] io_wqe_worker
     0.89%     0.00%  iou-wrk-3442     [kernel.vmlinux]    [k] ret_from_fork
     0.89%     0.01%  iou-wrk-3460     [kernel.vmlinux]    [k] io_wqe_worker
